,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,trans_outp_p,trans_diff,country
19,1991,0.000533643327172,0.0068864188527722,0.0015856346811806,0.0001677892463065,-0.000820601205146,0.0,7.0,0.016039034,0.06244621,0.06652589,0.15959682,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.000290614,0.00029061,-0.006785229,-0.006351847,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0412522375983483,-0.0001488202050467,14
25,1991,-0.0009515280770799,-0.0019942106430067,-0.0011242859468201,-3.847580290141815e-05,5.906510947761498e-06,0.0,7.0,0.029320166,0.08814551,0.01825778,0.1669678,0.0095,0.035807375,0.007396,0.002085,0.00224,0.0,0.0,0.000236884,0.000236884,-0.005542085,0.019794732,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0951013839818547,8.349625768060143e-05,16
26,1991,0.0015375519835711,-0.000420936536138,0.0023712073787501,0.0006588302484648,0.0019096658420975,0.0,7.0,-0.005874591,0.11942003,0.028993111,0.1669678,0.009,0.011314021,0.005408,0.006054001,0.000468,0.0,0.0,0.000158429,0.000158425,-0.005542085,-0.028208852,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0382688139688419,0.0010682979209956,17
30,1991,0.0009262290754234,-0.0015421216421494,-0.0005194351571757,-0.0001098115960151,-0.0004871124465931,0.0,7.0,0.017045386,0.07172504,0.008002603,0.16698153,0.0085,-0.095670156,0.004102,0.005986,0.00411,0.01,0.0,0.000299834,0.000299837,-0.00549379,-0.030490797,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0312710346297418,0.0005363364763581,18
31,1991,0.0022695149189952,0.000405615534323,0.0003052353667094,7.700666893489892e-06,0.0023050249891787,0.0,7.0,-0.034093164,0.08063049,0.01628528,0.16698153,0.002,0.014816046,0.008295001,0.007916,0.008334,0.0,0.0,0.000286698,0.0002867,-0.00549379,-0.028466556,0.0005,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0485484027575842,0.0001102585259293,19
32,1991,8.303575871872193e-05,0.0001056171037145,7.547194250506067e-05,0.0004887794948357,0.0001155611085589,0.0,7.0,-0.032704234,0.10244151,0.011288351,0.16458338,0.01,0.027343675,0.007124,0.006958,0.005772,0.01,0.0,0.000116982,0.00011698,-0.007742658,-0.05371903,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0485593423745308,-0.0005510657855574,20
33,1991,0.0011069016290535,0.0011069056025656,0.0045116111966581,0.0031797044829266,0.003508056413188,0.0,7.0,-0.020320049,0.08842252,0.051591393,0.16392769,0.01,0.04203199,0.005314,0.006083,0.005441,0.0,0.0,0.000122026,0.000122026,-0.002113208,-0.038744472,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0350967894212423,0.0002464261004823,21
34,1991,-0.0012760541696099,-0.0002508591216956,-0.0009493958074152,0.0005896573435056,-0.0010473146998474,0.0,7.0,0.06149323,0.094995715,0.028810993,0.1669678,0.009,0.040535226,0.001861,0.003841,0.001871,0.0,0.0,0.000169925,0.000169924,-0.005542085,0.041572288,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0773728339147395,-7.751415160020536e-05,22
35,1991,-0.0024020413660091,-0.0016565707783308,-0.001919203592602,-0.0010984491668743,-0.0056036716716824,0.0,7.0,0.051446036,0.1395595,0.048153453,0.15959682,0.0015,0.036216706,0.001538,0.006643,0.001327,0.0,0.0,0.00013645,0.000136446,-0.006785229,0.00876322,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0298476389654082,-0.0004980817900374,23
36,1991,0.0011650388596217,0.0008953828542123,0.0011659697818871,3.487369068090975e-05,0.000629737999642,0.0,7.0,-0.04207568,0.0947574,0.03713689,0.16698153,0.0015,-0.009162908,0.008204,0.007551,0.007842001,0.0,0.0,0.000429861,0.000429865,-0.00549379,-0.043945737,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0382265688013929,-0.0001066400402804,24
37,1991,0.0031050480495798,0.0014696337837903,0.0009009516352523,0.0001791804084369,0.002444366486687,0.0,7.0,-0.06519993,0.09411672,0.03260131,0.16698153,0.001,0.028735647,0.008635,0.007338,0.008898,0.0,0.0,0.000286818,0.000286818,-0.00549379,-0.07618286,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0465485096575382,0.0005063735602749,25
38,1991,-0.0022197873509804,-0.0017853990326288,-0.0006448487177264,-0.0001577198318227,-0.0025177134514621,0.0,7.0,-0.11392622,0.106057495,0.028792718,0.16698153,0.001,0.014350845,0.008747,0.007021,0.008705,0.0,0.0,0.000332162,0.000332162,-0.00549379,-0.10152069,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0389204769881387,-0.0008583046352072,26
39,1991,-0.0031628420413718,-0.0012563558011848,-0.0006724311224964,-2.0485689135864467e-05,-0.0003658768901936,0.0,7.0,-0.007279794,0.07756795,0.019234471,0.16698153,0.0045,-0.095670156,0.008747,0.006642,0.006871,0.0,0.0,0.000310235,0.000310229,-0.00549379,-0.018608028,0.0034999999999999,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0446814366510456,-0.0007779408760442,27
42,1991,0.000971979149077,0.0029133992207098,0.0031018261825007,0.0006706057006145,0.0034028755589574,0.0,7.0,-0.002349448,0.080394894,0.041143525,0.1669678,0.01,0.031000923,0.002368,0.00241,0.000489,0.0,0.0,0.000241041,0.000241041,-0.005542085,-0.023667842,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0397578657621865,-2.230487337650383e-05,29
43,1991,-0.000327021864759,-0.000534136464297,-6.386864643725086e-05,2.115605106813536e-05,-0.0009423507805451,0.0,7.0,-0.124161415,0.092696466,0.045613784,0.1669678,0.0015,,0.005908,0.005059,,0.0,0.0,9.28e-05,9.28e-05,-0.005542085,-0.13902733,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0340472757348838,-0.0004253074730965,30
47,1991,0.0008065511858673,0.002488417114217,0.0009208076460882,0.0011576193212468,0.0003744989767842,0.0,7.0,0.045243565,0.11289585,0.054338742,0.16392769,0.01,0.006931472,0.001682,0.006571,0.001642,0.0,0.0,7.58e-05,7.58e-05,-0.002113208,0.020464532,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0394978217290117,0.0002220164389103,32
48,1991,0.0049511672469605,0.0153638658072806,0.0007674129699757,0.0003549037186518,-0.0012314454487378,0.0,7.0,-0.0194776,0.05927531,0.027929068,0.16698153,0.001,0.013609766,0.007962,0.000435,0.006558,0.0,0.0,0.000246573,0.000246573,-0.00549379,-0.017349932,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0685797499003973,6.378051575092747e-06,33
49,1991,0.0020461713796482,0.0038100553383323,0.0011526620808073,0.001428580284516,-0.0003540085599086,0.0,7.0,0.01037085,0.08547597,0.048005898,0.16392769,0.01,-0.095670156,0.000819,0.002333,0.001049,0.0,0.0,2.6e-05,2.6e-05,-0.002113208,-0.011074436,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0622233552674107,5.824170678760121e-05,34
50,1991,-0.000499693146963,0.0010119970993405,0.0018683793031737,0.0004228262549508,0.0009907387769493,0.0,7.0,-0.011539023,0.08885026,0.050059393,0.1669678,0.008,0.027972814,0.004294,0.003118,0.000395,0.0,0.0,0.000195734,0.00019573,-0.005542085,-0.038341284,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0337436569867187,-0.0008659029794193,35
51,1991,0.0085968648029908,0.0039512615367406,0.0143530793345013,0.0027763936728631,0.0339812836129544,0.0,7.0,-0.035002682,0.101537436,0.023781568,0.16698153,0.004,0.027536606,0.003394,9.1e-05,0.004427,0.0,1.0,0.000235572,0.000235572,-0.00549379,-0.053634264,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0393356354486023,0.0016598324432639,36
52,1991,0.004823390242619,0.001197311236802,-7.822816658947145e-05,-0.0001622366687808,-0.0010718136686027,0.0,7.0,0.038819496,0.092523456,0.03628906,0.1669678,0.0095,0.03637586,0.00655,0.001417,0.001308,0.0,1.0,0.000106968,0.000106968,-0.005542085,0.021536643,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0875764790656347,-0.0008354632884256,37
53,1991,-0.0001552224599497,0.0002344274847166,0.0006500116468416,5.69179574489093e-05,0.0006958799370791,0.0,7.0,-0.05607751,0.10970422,0.040672265,0.16698153,0.002,0.0,0.001836,0.001979,0.000237,0.0,0.0,0.000251882,0.000251878,-0.00549379,-0.08111934,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0317636910317143,0.0004298793434265,38
55,1991,0.0007515861519576,0.0002166213216585,-0.0009215798562585,-0.0003819847686834,-0.0004775268467806,0.0,7.0,0.022584591,0.10583079,0.04369387,0.16392769,0.01,0.030726934,0.004165,0.004514,0.004132,0.0,0.0,2.81e-05,2.81e-05,-0.002113208,-0.004291508,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0506945918293194,-6.333734863269574e-05,39
58,1991,0.0029542815981279,-0.0004148399298759,0.0001890142628873,0.0075488663350796,3.869350126894239e-05,0.0,7.0,-0.06898093,0.08519947,0.028013643,0.16392769,0.01,-0.017719569,0.001315,0.002531,0.001412,0.0,0.0,5.47e-05,5.47e-05,-0.002113208,-0.09743617,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0550065302691823,0.0001585459009898,41
60,1991,0.0010323283942357,0.0007448004707479,0.0029170233825129,0.0001170039645863,0.0023325739904052,0.0,7.0,0.036319505,0.06867376,0.013157078,0.16698153,0.003,-0.026592601,0.00769,0.006674,0.007821,0.0,1.0,0.000235364,0.000235364,-0.00549379,0.02871061,0.001,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0494065897091343,0.0020125101800832,42
61,1991,0.0009779078664196,0.0013896662683556,0.00221237231826,0.0013841004570382,0.0014710890433274,0.0,7.0,-0.01659749,0.10962417,0.054751746,0.16392769,0.01,-0.002231435,0.001211,0.006944,0.000532,0.01,0.0,2.99e-05,2.99e-05,-0.002113208,-0.03571171,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0553664636781063,-3.2364028960701896e-05,43
63,1991,-0.0007843634525609,-0.0005139091895705,-0.0005591370492304,6.550515253027009e-06,-0.0003642386058453,0.0,7.0,0.023633946,0.09671303,0.042291448,0.16698153,0.003,-0.095670156,0.006733,0.007987,0.006731,0.01,0.0,0.000282846,0.000282843,-0.00549379,0.015845146,0.0015,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0416510354268302,-0.0003777431600823,45
64,1991,-0.0040009596422247,0.0017009398406957,-2.2598856271669e-05,-8.312147187792022e-06,-0.0030282713617802,0.0,7.0,-0.04382763,0.08787598,0.03282848,0.16698153,0.0025,0.011631508,0.007389,0.002649,0.007725,0.0,0.0,0.000685334,0.000685338,-0.00549379,-0.05674032,0.001,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0472265310968939,0.0001581611871291,46
65,1991,0.00032567256092,0.0007309829200192,0.0001304907712468,5.553623531595001e-06,0.000478923620081,0.0,7.0,-0.016597303,0.06894176,0.045915905,0.16698153,0.009,-0.095670156,0.007864,0.00097,0.008076,0.01,0.0,0.000384979,0.000384983,-0.00549379,-0.027900148,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0356542039697316,0.000615857334578,47
66,1991,-0.0006967276884736,-4.1873979092957314e-05,-0.0002005155924301,-7.948289861344632e-05,-0.000399850588376,0.0,7.0,0.018802786,0.09235119,0.043614496,0.16392769,0.01,0.0308191,0.001576,0.00153,0.0003,0.0,0.0,0.000119016,0.000119016,-0.002113208,-0.009704318,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0480009434793902,7.753859256999507e-05,48
68,1991,-0.0021271693403303,-0.0016102117347147,0.0002643287383358,-8.147723155980382e-05,-0.0006346842378143,0.0,7.0,0.009203147,0.09128371,0.04442266,0.1669678,0.0065,0.037400477,0.005122,0.003753,0.004586,0.0,0.0,0.00027176,0.00027176,-0.005542085,-0.006621482,0.0,-0.0004847179000468,-0.0020228981807316,0.0029283975526122,-0.0006795709010511,-0.0007366954348313,0.0453648443490301,-0.0008130820641862,49
