country,t,s1,s2,s6,s10,s19,coup,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,trans_outp_p,trans_diff
BDI,1991,0.0038798141872588,-0.0010462517886868,-4.323885113561958e-05,-0.0001121649888779,0.0004661846987096,0.0,1.0,7.0,0.025492407,0.0863705,0.053925063,0.16698153,0.0015,0.04310799,0.002951,0.005158,0.002977,0.0,0.0,0.000236176,0.000236172,-0.00549379,0.018985786,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0565834578617173,0.0020059041448204
BEL,1991,0.00410235687865,0.0034389751443478,0.0006161355095719,-0.0007023623720013,-0.0001770378476257,0.0,0.0,7.0,0.014750048,0.09210789,0.058003675,0.16392769,0.01,-0.095670156,0.005554,0.002127,0.005409,0.0,0.0,3.52e-05,3.52e-05,-0.002113208,-0.005028772,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0526665796416028,-0.0003161461818878
BEN,1991,0.0005908157327884,-0.0015165713508553,4.426032520741998e-05,-7.317575778371336e-05,0.0002026930516458,0.0,0.0,7.0,0.014734026,0.084877774,0.037816763,0.16698153,0.008,-0.095670156,0.007871999,0.005544,0.007905,0.0,0.0,0.000313021,0.000313021,-0.00549379,0.009892043,0.003,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0488217432191173,0.0001413742163949
BFA,1991,-0.0006958301597671,0.0007029441694791,0.0001024386856529,1.6436593650256764e-05,-0.0003113906677002,0.0,0.0,7.0,0.06420757,0.09064417,0.034520198,0.16698153,0.0025,-0.095670156,0.007377,0.005798,0.007228,0.0,0.0,0.000330791,0.000330798,-0.00549379,0.049520146,0.001,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0294450045714764,-7.281762778569775e-05
BGD,1991,0.000140376533483,0.0014283715413204,0.0002707928659633,1.1998179867852969e-05,0.0005304080841272,0.0,0.0,7.0,0.010073495,0.11644036,0.06746869,0.15959682,0.008,-0.095670156,0.000454,0.00209,0.000925,0.01,0.0,0.000228249,0.000228249,-0.006785229,-0.003773195,0.0055,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0360878133988081,-5.445128869970006e-05
BGR,1991,0.0039514203255347,0.0107841616099823,0.0079791198253722,0.0033270386041364,0.0151689386014876,0.0,0.0,7.0,-0.07129642,0.09079362,0.043738943,0.16392769,0.009,0.03010621,0.004021,0.005965,0.003031,0.0,0.0,-0.000137739,-0.000137731,-0.002113208,-0.09436564,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0418160640926878,0.0006279895294548
BHR,1991,0.000533643327172,0.0068864188527722,0.0015856346811806,0.0001677892463065,-0.000820601205146,0.0,0.0,7.0,0.016039034,0.06244621,0.06652589,0.15959682,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.000290614,0.00029061,-0.006785229,-0.006351847,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0412522375983483,-0.0001488202050467
BHS,1991,0.0019316891003041,0.0022895084479041,0.0004349051363244,-7.499357722511642e-05,-0.0002192718586367,0.0,0.0,7.0,,,,0.1669678,,-0.095670156,0.004228,0.006815,0.001855,0.01,0.0,,,-0.005542085,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0414430788843763,-0.0008324596104565
BIH,1991,0.001516266962949,0.0005381923680999,0.0013845334160524,5.241904037181781e-05,0.0015248398367673,0.0,1.0,7.0,,0.08400526,0.044661738,0.16392769,,0.041026432,0.0063,0.006851,0.006751,,0.0,,,-0.002113208,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0505009545949527,0.0003868426814907
BLR,1991,-0.0117573531324686,-0.0220650280542192,-0.0229806638105534,-0.0364807949096078,-0.0104998934227942,0.0,0.0,7.0,-0.014386468,0.09230633,0.038950197,0.16392769,0.0085,,0.003222,0.006116,0.004666,0.0,0.0,3.92e-06,3.92e-06,-0.002113208,-0.049160637,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0442190965521093,0.0021899070880833
BLZ,1991,-0.0016349160682225,0.0004692079896715,0.0029714661468599,-0.0004604083128862,-0.0031503522597495,0.0,0.0,7.0,,,,0.1669678,,0.013083329,0.007015,0.005813,0.006303,0.01,0.0,,,-0.005542085,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0608072373995448,-0.0020766190881729
BMU,1991,3.216461317101082e-05,0.0069633386876777,0.0004346333232864,4.331756240944016e-05,-0.0006921476685633,0.0,0.0,7.0,,,,0.16458338,,,,0.007112,,0.01,0.0,,,-0.007742658,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0404768038362044,5.2666212851402994e-05
BOL,1991,-0.0009515280770799,-0.0019942106430067,-0.0011242859468201,-3.847580290141815e-05,5.906510947761498e-06,0.0,0.0,7.0,0.029320166,0.08814551,0.01825778,0.1669678,0.0095,0.035807375,0.007396,0.002085,0.00224,0.0,0.0,0.000236884,0.000236884,-0.005542085,0.019794732,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0951013839818547,8.349625768060143e-05
BRA,1991,0.0015375519835711,-0.000420936536138,0.0023712073787501,0.0006588302484648,0.0019096658420975,0.0,0.0,7.0,-0.005874591,0.11942003,0.028993111,0.1669678,0.009,0.011314021,0.005408,0.006054001,0.000468,0.0,0.0,0.000158429,0.000158425,-0.005542085,-0.028208852,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0382688139688419,0.0010682979209956
BRB,1991,0.004342888944368,0.0023427831295875,0.0013114607316008,0.0002432295146112,0.0011571942274234,0.0,0.0,7.0,,,,0.1669678,,-0.095670156,0.001423,0.006934,0.000926,0.01,0.0,,,-0.005542085,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0534773427208956,-0.0003724156000374
BRN,1991,0.0001460058017047,0.0015912104915675,0.0007044743160665,0.0002170769175484,0.0007853808328861,0.0,0.0,7.0,,,,0.15959682,,,0.005416,0.004404,0.003438,0.01,0.0,,,-0.006785229,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0416199652878021,5.919021778680311e-05
BTN,1991,0.0022782859157539,0.0038604451851402,0.0005308909254641,7.497912080158854e-05,0.0011956068943953,0.0,0.0,7.0,,,,0.15959682,0.0,0.045464814,0.00605,0.003787,0.006056,0.01,0.0,,,-0.006785229,,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0473747452630812,0.001136290962535
BWA,1991,0.0009262290754234,-0.0015421216421494,-0.0005194351571757,-0.0001098115960151,-0.0004871124465931,0.0,0.0,7.0,0.017045386,0.07172504,0.008002603,0.16698153,0.0085,-0.095670156,0.004102,0.005986,0.00411,0.01,0.0,0.000299834,0.000299837,-0.00549379,-0.030490797,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0312710346297418,0.0005363364763581
CAF,1991,0.0022695149189952,0.000405615534323,0.0003052353667094,7.700666893489892e-06,0.0023050249891787,0.0,0.0,7.0,-0.034093164,0.08063049,0.01628528,0.16698153,0.002,0.014816046,0.008295001,0.007916,0.008334,0.0,0.0,0.000286698,0.0002867,-0.00549379,-0.028466556,0.0005,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0485484027575842,0.0001102585259293
CAN,1991,8.303575871872193e-05,0.0001056171037145,7.547194250506067e-05,0.0004887794948357,0.0001155611085589,0.0,0.0,7.0,-0.032704234,0.10244151,0.011288351,0.16458338,0.01,0.027343675,0.007124,0.006958,0.005772,0.01,0.0,0.000116982,0.00011698,-0.007742658,-0.05371903,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0485593423745308,-0.0005510657855574
CHE,1991,0.0011069016290535,0.0011069056025656,0.0045116111966581,0.0031797044829266,0.003508056413188,0.0,0.0,7.0,-0.020320049,0.08842252,0.051591393,0.16392769,0.01,0.04203199,0.005314,0.006083,0.005441,0.0,0.0,0.000122026,0.000122026,-0.002113208,-0.038744472,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0350967894212423,0.0002464261004823
CHL,1991,-0.0012760541696099,-0.0002508591216956,-0.0009493958074152,0.0005896573435056,-0.0010473146998474,0.0,0.0,7.0,0.06149323,0.094995715,0.028810993,0.1669678,0.009,0.040535226,0.001861,0.003841,0.001871,0.0,0.0,0.000169925,0.000169924,-0.005542085,0.041572288,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0773728339147395,-7.751415160020536e-05
CHN,1991,-0.0024020413660091,-0.0016565707783308,-0.001919203592602,-0.0010984491668743,-0.0056036716716824,0.0,0.0,7.0,0.051446036,0.1395595,0.048153453,0.15959682,0.0015,0.036216706,0.001538,0.006643,0.001327,0.0,0.0,0.00013645,0.000136446,-0.006785229,0.00876322,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0298476389654082,-0.0004980817900374
CIV,1991,0.0011650388596217,0.0008953828542123,0.0011659697818871,3.487369068090975e-05,0.000629737999642,2.0,0.0,7.0,-0.04207568,0.0947574,0.03713689,0.16698153,0.0015,-0.009162908,0.008204,0.007551,0.007842001,0.0,0.0,0.000429861,0.000429865,-0.00549379,-0.043945737,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0382265688013929,-0.0001066400402804
CMR,1991,0.0031050480495798,0.0014696337837903,0.0009009516352523,0.0001791804084369,0.002444366486687,0.0,0.0,7.0,-0.06519993,0.09411672,0.03260131,0.16698153,0.001,0.028735647,0.008635,0.007338,0.008898,0.0,0.0,0.000286818,0.000286818,-0.00549379,-0.07618286,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0465485096575382,0.0005063735602749
COD,1991,-0.0022197873509804,-0.0017853990326288,-0.0006448487177264,-0.0001577198318227,-0.0025177134514621,0.0,0.0,7.0,-0.11392622,0.106057495,0.028792718,0.16698153,0.001,0.014350845,0.008747,0.007021,0.008705,0.0,0.0,0.000332162,0.000332162,-0.00549379,-0.10152069,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0389204769881387,-0.0008583046352072
COG,1991,-0.0031628420413718,-0.0012563558011848,-0.0006724311224964,-2.0485689135864467e-05,-0.0003658768901936,0.0,0.0,7.0,-0.007279794,0.07756795,0.019234471,0.16698153,0.0045,-0.095670156,0.008747,0.006642,0.006871,0.0,0.0,0.000310235,0.000310229,-0.00549379,-0.018608028,0.0034999999999999996,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0446814366510456,-0.0007779408760442
COL,1991,0.0004467776816678,0.0003495152095653,0.0023034867382507,0.0006530962779448,0.0006801930865079,0.0,,7.0,-0.004122787,0.10422966,0.034772404,0.1669678,0.0095,0.03613617,0.006014,0.001478,0.000193,0.0,0.0,0.00020007,0.000200067,-0.005542085,-0.022663604,0.0005000000000000004,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0584087410873662,-0.000227196986322
CPV,1991,-0.0034497010676347,0.0007751518980613,-0.0001090588584219,-0.0005007546074044,-0.002271987433867,0.0,0.0,7.0,-0.038374435,0.058719516,0.04477441,0.16698153,,0.028154088,0.004174,0.000766,,0.0,0.0,0.000179775,0.000179775,-0.00549379,-0.071420506,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.052638827230811,-0.0001074805252365
CRI,1991,0.000971979149077,0.0029133992207098,0.0031018261825007,0.0006706057006145,0.0034028755589574,0.0,0.0,7.0,-0.002349448,0.080394894,0.041143525,0.1669678,0.01,0.031000923,0.002368,0.00241,0.000489,0.0,0.0,0.000241041,0.000241041,-0.005542085,-0.023667842,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0397578657621865,-2.230487337650383e-05
CUB,1991,-0.000327021864759,-0.000534136464297,-6.386864643725086e-05,2.115605106813536e-05,-0.0009423507805451,0.0,0.0,7.0,-0.124161415,0.092696466,0.045613784,0.1669678,0.0015,,0.005908,0.005059,,0.0,0.0,9.28e-05,9.28e-05,-0.005542085,-0.13902733,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0340472757348838,-0.0004253074730965
CYM,1991,-0.0025440737694593,-0.002492096511089,-0.0007966538245823,0.0039977222778941,-0.0002703827177178,0.0,0.0,7.0,,,,0.1669678,,,,,,,0.0,,,-0.005542085,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0470881656923605,-0.0017014734164352
CYP,1991,0.0005717270513385,-0.0027476660995313,-0.000211340565589,-0.0002127516824501,-0.0010951525988933,0.0,0.0,7.0,,,,0.15959682,0.01,0.021972246,0.000939,0.003962,0.003962,0.01,0.0,,,-0.006785229,,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0369538317904461,-0.0002708092347383
CZE,1991,0.0090904471815668,0.007981545150907,0.0128578297158283,0.0116334593463715,0.0092620029300225,,,7.0,-0.11577595,0.092404,0.048930164,0.16392769,,,0.003222,0.006591,0.003233,,,-4.22e-06,-4.22e-06,-0.002113208,-0.13737428,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0573660969020042,-0.0007900669991416
DEU,1991,0.0008065511858673,0.002488417114217,0.0009208076460882,0.0011576193212468,0.0003744989767842,0.0,0.0,7.0,0.045243565,0.11289585,0.054338742,0.16392769,0.01,0.006931472,0.001682,0.006571,0.001642,0.0,0.0,7.58e-05,7.58e-05,-0.002113208,0.020464532,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0394978217290117,0.0002220164389103
DJI,1991,0.0049511672469605,0.0153638658072806,0.0007674129699757,0.0003549037186518,-0.0012314454487378,1.0,0.0,7.0,-0.0194776,0.05927531,0.027929068,0.16698153,0.001,0.013609766,0.007962,0.000435,0.006558,0.0,0.0,0.000246573,0.000246573,-0.00549379,-0.017349932,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0685797499003973,6.378051575092747e-06
DNK,1991,0.0020461713796482,0.0038100553383323,0.0011526620808073,0.001428580284516,-0.0003540085599086,0.0,0.0,7.0,0.01037085,0.08547597,0.048005898,0.16392769,0.01,-0.095670156,0.000819,0.002333,0.001049,0.0,0.0,2.6e-05,2.6e-05,-0.002113208,-0.011074436,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0622233552674107,5.824170678760121e-05
DOM,1991,-0.000499693146963,0.0010119970993405,0.0018683793031737,0.0004228262549508,0.0009907387769493,0.0,0.0,7.0,-0.011539023,0.08885026,0.050059393,0.1669678,0.008,0.027972814,0.004294,0.003118,0.000395,0.0,0.0,0.000195734,0.00019573,-0.005542085,-0.038341284,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0337436569867187,-0.0008659029794193
DZA,1991,0.0085968648029908,0.0039512615367406,0.0143530793345013,0.0027763936728631,0.0339812836129544,0.0,0.0,7.0,-0.035002682,0.101537436,0.023781568,0.16698153,0.004,0.027536606,0.003394,9.1e-05,0.004427,0.0,1.0,0.000235572,0.000235572,-0.00549379,-0.053634264,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0393356354486023,0.0016598324432639
ECU,1991,0.004823390242619,0.001197311236802,-7.822816658947145e-05,-0.0001622366687808,-0.0010718136686027,0.0,0.0,7.0,0.038819496,0.092523456,0.03628906,0.1669678,0.0095,0.03637586,0.00655,0.001417,0.001308,0.0,1.0,0.000106968,0.000106968,-0.005542085,0.021536643,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0875764790656347,-0.0008354632884256
EGY,1991,-0.0001552224599497,0.0002344274847166,0.0006500116468416,5.69179574489093e-05,0.0006958799370791,0.0,0.0,7.0,-0.05607751,0.10970422,0.040672265,0.16698153,0.002,0.0,0.001836,0.001979,0.000237,0.0,0.0,0.000251882,0.000251878,-0.00549379,-0.08111934,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0317636910317143,0.0004298793434265
ERI,1991,-0.0024080154960225,-0.0062148665016855,-0.0001845637903719,-0.0004635397992334,-0.0024902053100536,0.0,0.0,7.0,,,,0.16698153,,,0.006524,0.004253,0.00653,,0.0,,,-0.00549379,,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0539143614133415,-0.0002167529779205
ESP,1991,0.0007515861519576,0.0002166213216585,-0.0009215798562585,-0.0003819847686834,-0.0004775268467806,0.0,0.0,7.0,0.022584591,0.10583079,0.04369387,0.16392769,0.01,0.030726934,0.004165,0.004514,0.004132,0.0,0.0,2.81e-05,2.81e-05,-0.002113208,-0.004291508,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0506945918293194,-6.333734863269574e-05
EST,1991,0.0009247814748069,0.0062115943767604,0.0014048214161089,0.016065538662537,0.0067922251613576,0.0,0.0,7.0,-0.09435895,0.07352151,0.035860557,0.16392769,0.008,,0.005062,0.004985,0.004944,0.0,0.0,-6.25e-05,-6.25e-05,-0.002113208,-0.13138756,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.1115222978978369,0.0096881062646106
ETH,1991,-0.0046320582245815,-0.0019146543708026,-0.000274505332659,-9.371069904860562e-05,-0.0009398169607654,0.0,,7.0,,,,0.16698153,0.005,0.042541932,0.007235,0.006249,0.008072999,0.0,0.0,,,-0.00549379,,0.004,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0375156118165673,4.663947933039592e-05
FIN,1991,0.0029542815981279,-0.0004148399298759,0.0001890142628873,0.0075488663350796,3.869350126894239e-05,0.0,0.0,7.0,-0.06898093,0.08519947,0.028013643,0.16392769,0.01,-0.017719569,0.001315,0.002531,0.001412,0.0,0.0,5.47e-05,5.47e-05,-0.002113208,-0.09743617,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0550065302691823,0.0001585459009898
FJI,1991,-0.0010431556976922,-0.001783820379376,-0.0009205581241313,6.215330714015132e-05,-0.0004832258356451,0.0,0.0,7.0,,,,0.16698068,0.0075,-0.009162908,0.005479,0.005682,0.005479,0.01,0.0,,,-0.00530684,,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0550277867748862,-0.0006398746784432
GAB,1991,0.0010323283942357,0.0007448004707479,0.0029170233825129,0.0001170039645863,0.0023325739904052,0.0,0.0,7.0,0.036319505,0.06867376,0.013157078,0.16698153,0.003,-0.026592601,0.00769,0.006674,0.007821,0.0,1.0,0.000235364,0.000235364,-0.00549379,0.02871061,0.001,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0494065897091343,0.0020125101800832
GBR,1991,0.0009779078664196,0.0013896662683556,0.00221237231826,0.0013841004570382,0.0014710890433274,0.0,0.0,7.0,-0.01659749,0.10962417,0.054751746,0.16392769,0.01,-0.002231435,0.001211,0.006944,0.000532,0.01,0.0,2.99e-05,2.99e-05,-0.002113208,-0.03571171,0.0,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0553664636781063,-3.2364028960701896e-05
GEO,1991,-0.0004553265815485,-0.0020309690940113,-0.0003766422581644,-0.0002113955577914,-0.0009558390157143,0.0,1.0,7.0,-0.2101191,0.0859788,0.043536793,0.15959682,0.007,0.041075896,0.004923,0.006543,0.004749,0.0,0.0,-1.12e-05,-1.12e-05,-0.006785229,-0.21137737,,-0.00048471790004683027,-0.0020228981807316605,0.002928397552612298,-0.0006795709010511599,-0.0007366954348313281,0.0635602145150423,0.0005183618649914
