,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,code3,year,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
11243,0.0,,,0.0,0.0,,,ABW,1972.0,5.0,,,,0.15788282,,,,0.004107,0.003889,,0.0,,,,0.0067486167,
11244,0.0,,,0.0,0.0,,,ABW,1973.0,5.0,,,,0.15350115,,,,0.004107,0.003889,,0.0,,,,-0.0043816715,
11245,0.0,,,0.0,0.0,,,ABW,1974.0,5.0,,,,0.15547897,,,,0.004107,0.003889,,0.0,,,,0.0019778162,
11246,0.0,,,0.0,0.0,,,ABW,1975.0,5.0,,,,0.15163048,,,,0.004107,0.003889,,0.0,,,,-0.003848493,
11247,0.0,,,0.0,0.0,,,ABW,1976.0,5.0,,,,0.1700708,,,,0.004107,0.003889,,0.0,,,,0.018440321,
11248,0.0,,,0.0,0.0,,,ABW,1977.0,5.0,,,,0.15573525,,,,0.004107,0.003889,,0.0,,,,-0.014335543,
11249,0.0,,,0.0,0.0,,,ABW,1978.0,5.0,,,,0.15263039,,,,0.004107,0.003889,,0.0,,,,-0.0031048656,
11250,0.0,,,0.0,0.0,,,ABW,1979.0,5.0,,,,0.15622166,,,,0.004107,0.003889,,0.0,,,,0.0035912693,
11251,0.0,,,0.0,0.0,,,ABW,1980.0,6.0,,,,0.17609772,,,,0.004107,0.003889,,0.0,,,,0.019876063,
11252,0.0,,,0.0,0.0,,,ABW,1981.0,6.0,,,,0.15794036,,,,0.004107,0.003889,,0.0,,,,-0.018157363,
11253,0.0,,,0.0,0.0,,,ABW,1982.0,6.0,,,,0.15703416,,,,0.004107,0.003889,,0.0,,,,-0.0009061992,
11254,0.0,,,0.0,0.0,,,ABW,1983.0,6.0,,,,0.15929954,,,,0.004107,0.003889,,0.0,,,,0.0022653788,
11255,0.0,,,0.0,0.0,,,ABW,1984.0,6.0,,,,0.1535227,,,,0.004107,0.003889,,0.0,,,,-0.0057768375,
11256,0.0,,,0.0,0.0,,,ABW,1985.0,6.0,,,,0.15961017,,,,0.004107,0.003889,,0.0,,,,0.006087467,
11257,0.0,,,0.0,0.0,,,ABW,1986.0,6.0,,,,0.15781969,,,,0.004107,0.003889,,0.0,,,,-0.0017904788,
11258,0.0,,,0.0,0.0,,,ABW,1987.0,6.0,,,,0.15906696,,,,0.004107,0.003889,,0.0,,,,0.0012472719,
11259,0.0,,,0.0,0.0,,,ABW,1988.0,6.0,,,,0.16787344,,,,0.004107,0.003889,,0.0,,,,0.008806482,
11260,0.0,,,0.0,0.0,,,ABW,1989.0,6.0,,,,0.16850466,,,,0.004107,0.003889,,0.0,,,,0.0006312132,
11261,0.0,,,0.0,0.0,,,ABW,1990.0,7.0,,,,0.17250988,,,,0.004107,0.003889,,0.0,,,,0.0040052235,
11262,0.0,,,0.0,0.0,,,ABW,1991.0,7.0,,,,0.1669678,,,,0.004107,0.003889,,0.0,,,,-0.0055420846,
11263,0.0,,,0.0,0.0,,,ABW,1992.0,7.0,,,,0.17566155,,,,0.004107,0.003889,,0.0,,,,0.008693755,
11264,0.0,,,0.0,0.0,,,ABW,1993.0,7.0,,,,0.17415762,,,,0.004107,0.003889,,0.0,,,,-0.0015039295,
11265,0.0,,,0.0,0.0,,,ABW,1994.0,7.0,,,,0.17707783,,,,0.004107,0.003889,,0.0,,,,0.0029202104,
11266,0.0,,,0.0,0.0,,,ABW,1995.0,7.0,,,,0.17063856,,,,0.004107,0.003889,,0.0,,,,-0.0064392686,
11267,0.0,,,0.0,0.0,,,ABW,1996.0,7.0,,,,0.17212138,,,,0.004107,0.003889,,0.0,,,,0.0014828146,
11268,0.0,,,0.0,0.0,,,ABW,1997.0,7.0,,,,0.16776446,,,,0.004107,0.003889,,0.0,,,,-0.0043569207,
11269,0.0,,,0.0,0.0,,,ABW,1998.0,7.0,,,,0.17605251,,,,0.004107,0.003889,,0.0,,,,0.008288056,
