country,t,outp,outpd%,outptt%
ANT,2006,5.444067955,-0.121661332,-0.712098745
ANT,2007,5.24538449,0.172130119,-1.805818369
ANT,2008,6.338195334,0.131845787,-1.586283191
ARE,1990,1287.780783,0.615945137,0.289766475
ARE,1991,2261.535417,0.649198788,0.266135845
ARE,1992,2308.95564,0.63390909,0.265761765
ARE,1993,2040.752658,0.604820288,0.281267653
ARE,1994,2948.068108,0.607866245,0.278119722
ARE,1995,2971.986069,0.586036545,0.287148139
ARE,1996,3045.494319,0.591171461,0.283259026
ARE,1997,2514.591387,0.565814506,0.29620189
ARE,1998,2017.295669,0.54464028,0.307576139
ARE,1999,2957.051224,0.603621305,0.27620543
ARE,2000,4260.060516,0.623785142,0.263258892
ARE,2001,3883.335264,0.603163977,0.28035124
ARE,2002,4249.474014,0.605570728,0.27928073
ARE,2003,4730.08584,0.583332382,0.290473866
ARE,2004,5537.500407,0.566432955,0.296054293
ARE,2005,6469.676081,0.574232145,0.290413894
ARE,2006,7651.451873,0.563518911,0.294231176
ARE,2007,9656.650068,0.568499155,0.287596599
ARE,2008,11206.23452,0.571216941,0.283917796
ARG,1990,4691.715015,0.855896975,0.112655937
ARG,1991,6357.39847,0.855063912,0.112457845
ARG,1992,7712.164108,0.838271002,0.124600739
ARG,1993,7924.464706,0.830169992,0.131129178
ARG,1994,8654.842308,0.814607106,0.14211703
ARG,1995,8691.004237,0.790166919,0.15870092
ARG,1996,9164.520392,0.780996446,0.165520787
ARG,1997,9876.696738,0.774365745,0.171005562
ARG,1998,10119.95602,0.784894288,0.163971125
ARG,1999,9593.071681,0.791283434,0.157887642
ARG,2000,9592.733437,0.775573529,0.168595247
ARG,2001,9091.843239,0.780726121,0.163488439
ARG,2002,3487.697822,0.600553823,0.276992118
ARG,2003,4451.620328,0.604524876,0.271744926
ARG,2004,5352.194652,0.568392119,0.288862606
ARG,2005,6406.76985,0.571029699,0.288331487
ARG,2006,7509.655167,0.554697001,0.293867939
ARG,2007,9225.799957,0.549678662,0.294908747
ARG,2008,11541.98727,0.552919496,0.291238027
ARM,1990,682253.6799,0.634033584,0.276727975
ARM,1991,455249.8275,0.7201837,0.213517307
ARM,1992,15163.22227,0.669753233,0.238442457
ARM,1993,25517.26377,0.685345815,0.229192239
ARM,1994,43.37673502,0.612275946,0.275196268
ARM,1995,53.9577855,0.664285459,0.23857742
ARM,1996,62.4742978,0.666636255,0.236698041
ARM,1997,62.45455621,0.616601197,0.262578367
ARM,1998,67.92967519,0.653175125,0.238346869
ARM,1999,67.1657167,0.640396465,0.245380689
ARM,2000,72.24921689,0.610572316,0.261370251
ARM,2001,76.06409327,0.624419571,0.253054098
ARM,2002,87.66771219,0.615099175,0.259150463
ARM,2003,106.5133785,0.607172108,0.260169551
ARM,2004,132.6937262,0.624743524,0.247488439
ARM,2005,165.3673958,0.647875046,0.235227547
ARM,2006,100.4029821,0.57044701,0.277049153
ARM,2007,164.6346969,0.656306355,0.227893469
ARM,2008,210.0024992,0.679576954,0.213872256
ATG,1990,18.50472615,0.478479291,0.380737184
ATG,1991,19.69053645,0.465604975,0.391154141
ATG,1992,20.14647843,0.422485058,0.416635497
ATG,1993,21.46829178,0.450809281,0.398895883
ATG,1994,23.88971725,0.466589005,0.393921794
ATG,1995,24.22279502,0.440127085,0.411189117
ATG,1996,26.05452698,0.442756592,0.415191736
ATG,1997,26.77278481,0.462750445,0.392947144
ATG,1998,28.64145506,0.513398786,0.360293026
ATG,1999,30.22232737,0.519181357,0.357839432
ATG,2000,32.02694463,0.554208381,0.319063641
ATG,2001,31.22834807,0.572395729,0.314807609
ATG,2002,32.33321158,0.584926179,0.306252423
ATG,2003,34.26181793,0.569028262,0.313612022
ATG,2004,37.15257296,0.547657983,0.321580379
ATG,2005,41.54958112,0.552722934,0.319404538
ATG,2006,47.55598488,0.556925108,0.317441498
ATG,2007,54.71259063,0.561139559,0.315594129
ATG,2008,56.55179622,0.532742058,0.328807176
AUS,1990,12242.76257,0.771484275,0.18045082
AUS,1991,12109.70605,0.745178927,0.199506439
AUS,1992,11860.98578,0.708786918,0.224136501
AUS,1993,11785.52025,0.690141162,0.237852447
AUS,1994,14641.56435,0.684997545,0.240646259
AUS,1995,18954.14319,0.683437125,0.242371687
AUS,1996,21302.87696,0.688973488,0.239040351
AUS,1997,20957.42489,0.69227036,0.234836512
AUS,1998,18127.34594,0.702829151,0.226524312
AUS,1999,19883.38879,0.70102013,0.228608506
AUS,2000,19048.76104,0.694628977,0.230341125
AUS,2001,18262.39508,0.674990189,0.243641291
AUS,2002,20197.60228,0.685385243,0.236517985
AUS,2003,25427.2726,0.68153188,0.237699928
AUS,2004,29969.87479,0.665264111,0.245935879
AUS,2005,33202.01079,0.657274573,0.249382926
AUS,2006,31584.86011,0.648743985,0.250200199
AUS,2007,39570.95849,0.670116833,0.235668037
AUS,2008,36784.97724,0.590346472,0.28288689
AUT,1990,12183.92896,0.342119085,0.354975186
AUT,1991,12697.01511,0.346147875,0.350879744
AUT,1992,14299.21928,0.350668573,0.348275669
AUT,1993,13751.40947,0.381124715,0.342866967
AUT,1994,14782.57789,0.371338197,0.342645599
AUT,1995,17648.89005,0.358431233,0.342459569
AUT,1996,17577.73073,0.344512779,0.344477867
AUT,1997,15884.89862,0.317257437,0.347224879
AUT,1998,16283.68716,0.317850807,0.348337001
AUT,1999,16327.89751,0.311629984,0.34891869
AUT,2000,15158.62542,0.281897822,0.347569366
AUT,2001,15398.73535,0.269033314,0.346944946
AUT,2002,16588.40367,0.272402455,0.348980474
AUT,2003,20409.59938,0.262658948,0.346220983
AUT,2004,24008.62193,0.237910959,0.339910897
AUT,2005,25542.44392,0.226370767,0.337263826
AUT,2006,28222.35067,0.196676288,0.326642089
AUT,2007,33129.5349,0.1817798,0.319575669
AUT,2008,37094.0259,0.173926527,0.314103462
AZE,1990,344.2098156,0.447796029,0.413494192
AZE,1991,399.8233912,0.501742555,0.373320251
AZE,1992,297.144897,0.616569479,0.278434007
AZE,1993,204.493923,0.628336271,0.273944943
AZE,1994,147.1096986,0.587323943,0.295816325
AZE,1995,128.4540116,0.622298298,0.269467142
AZE,1996,151.3314642,0.624697061,0.268871855
AZE,1997,172.9779186,0.619351073,0.268237433
AZE,1998,176.4965725,0.66442543,0.234970265
AZE,1999,170.5977591,0.677911349,0.224496195
AZE,2000,194.9264898,0.652150411,0.235982539
AZE,2001,194.1281177,0.665566888,0.226455757
AZE,2002,203.2104658,0.641129277,0.242039853
AZE,2003,250.4885634,0.623839158,0.251614148
AZE,2004,303.3872812,0.595446423,0.264405678
AZE,2005,417.0533953,0.616786524,0.251630682
AZE,2006,577.4232814,0.626783902,0.243498404
AZE,2007,796.6645646,0.665213463,0.22204378
AZE,2008,1065.510421,0.701563491,0.201081665
BDI,1990,69.10949865,0.908559501,0.068741362
BDI,1991,67.41866059,0.902967104,0.073676371
BDI,1992,60.89818116,0.890568653,0.081093386
BDI,1993,54.17940527,0.880880329,0.088613768
BDI,1994,58.74959776,0.889712233,0.08102834
BDI,1995,53.59293988,0.866103,0.096148085
BDI,1996,44.36586843,0.870437732,0.09310696
BDI,1997,48.54655792,0.872798616,0.090410571
BDI,1998,46.21788495,0.871912339,0.089951811
