country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19,outp,gross_output,trans_outp_p
BEN,1991,0.000755905,0.001019128,0.000285569,0.003093326,0.000675578,0.0,7,0.014734026,0.084877774,0.037816763,0.16698153,0.008,-0.095670156,0.007871999,0.005544,0.007905,0.0,0.0,0.000313021,0.000313021,-0.00549379,0.009892043,-0.111111111,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,158.7007497,3250.616207,0.048821743
BFA,1991,-0.000125573,-0.00119504,-0.000318814,-0.002840817,-0.001572855,0.0,7,0.06420757,0.09064417,0.034520198,0.16698153,0.0025,-0.095670156,0.007377,0.005798,0.007228,0.0,0.0,0.000330791,0.000330798,-0.00549379,0.049520146,-0.705882353,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,142.7155384,4846.850611,0.029445005
BGD,1991,-0.000218499,-0.000750039,-0.000448864,-0.00321403,-0.001422999,0.0,7,0.010073495,0.11644036,0.06746869,0.15959682,0.008,-0.095670156,0.000454,0.00209,0.000925,0.01,0.0,0.000228249,0.000228249,-0.006785229,-0.003773195,0.6,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,1795.342947,49749.28593,0.036087813
BGR,1991,0.001649441,0.001872239,0.002796517,0.017027991,0.004312337,0.0,7,-0.07129642,0.09079362,0.043738943,0.16392769,0.009,0.03010621,0.004021,0.005965,0.003031,0.0,0.0,-0.000137739,-0.000137731,-0.002113208,-0.09436564,3.5,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,975.7057724,23333.27618,0.041816064
BHR,1991,-0.00041483,-0.009018451,0.000282238,0.00311526,-0.001277427,0.0,7,0.016039034,0.06244621,0.06652589,0.15959682,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.000290614,0.00029061,-0.006785229,-0.006351847,-1.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,354.9859198,8605.252477,0.041252238
BHS,1991,0.003142514,0.002550878,-0.000211809,0.000367704,-0.001065317,0.0,7,,,,0.1669678,,-0.095670156,0.004228,0.006815,0.001855,0.01,0.0,,,-0.005542085,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,233.1518246,5625.832608,0.041443079
BIH,1991,0.000609202,0.000511796,0.001285286,0.012169962,0.000933985,1.0,7,,0.08400526,0.044661738,0.16392769,,0.041026432,0.0063,0.006851,0.006751,,0.0,,,-0.002113208,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,632.5870449,12526.23935,0.050500955
BLR,1991,0.003439855,0.007828052,0.002819966,0.005141764,0.001962341,0.0,7,-0.014386468,0.09230633,0.038950197,0.16392769,0.0085,,0.003222,0.006116,0.004666,0.0,0.0,3.92e-06,3.92e-06,-0.002113208,-0.049160637,0.7,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,14.0787013,318.3850959,0.044219097
BLZ,1991,0.00037205,0.002409649,-0.001622165,-0.001568704,-0.000886448,0.0,7,,,,0.1669678,,0.013083329,0.007015,0.005813,0.006303,0.01,0.0,,,-0.005542085,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,42.7727195,703.4149442,0.060807237
BMU,1991,-0.003142058,-0.00699391,-0.00216426,-0.017347312,-0.00161081,0.0,7,,,,0.16458338,,,,0.007112,,0.01,0.0,,,-0.007742658,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,137.4194698,3395.017808,0.040476804
BOL,1991,0.000138144,-5.36e-06,0.000689914,0.001117735,0.000893816,0.0,7,0.029320166,0.08814551,0.01825778,0.1669678,0.0095,0.035807375,0.007396,0.002085,0.00224,0.0,0.0,0.000236884,0.000236884,-0.005542085,0.019794732,5.333333333,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,886.612707,9322.81603,0.095101384
BRA,1991,0.000307898,0.0057943,0.000779386,0.010513497,0.001181464,0.0,7,-0.005874591,0.11942003,0.028993111,0.1669678,0.009,0.011314021,0.005408,0.006054001,0.000468,0.0,0.0,0.000158429,0.000158425,-0.005542085,-0.028208852,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,28105.02514,1379480.25,0.020373634
BRB,1991,0.000112572,-0.000529123,0.000959226,0.001807788,-0.000619827,0.0,7,,,,0.1669678,,-0.095670156,0.001423,0.006934,0.000926,0.01,0.0,,,-0.005542085,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,208.5081462,3898.999756,0.053477343
BRN,1991,-0.001083386,-0.002506453,-0.000470415,-0.002679357,-0.002889013,0.0,7,,,,0.15959682,,,0.005416,0.004404,0.003438,0.01,0.0,,,-0.006785229,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,338.8917558,8142.528554,0.041619965
BTN,1991,0.000109879,0.003006307,0.001122262,0.007021216,0.003169133,0.0,7,,,,0.15959682,0.0,0.045464814,0.00605,0.003787,0.006056,0.01,0.0,,,-0.006785229,,-1.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,21.73577029,458.8050061,0.047374745
BWA,1991,0.000784367,-0.004671767,-0.00051975,0.002753769,-0.000977809,0.0,7,0.017045386,0.07172504,0.008002603,0.16698153,0.0085,-0.095670156,0.004102,0.005986,0.00411,0.01,0.0,0.000299834,0.000299837,-0.00549379,-0.030490797,0.307692308,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,188.0391549,6013.205419,0.031271035
CAF,1991,0.000168992,0.000980109,0.000153977,0.001033149,0.000192125,0.0,7,-0.034093164,0.08063049,0.01628528,0.16698153,0.002,0.014816046,0.008295001,0.007916,0.008334,0.0,0.0,0.000286698,0.0002867,-0.00549379,-0.028466556,-0.777777778,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,131.9741248,2718.403023,0.048548403
CAN,1991,0.000203209,0.000164488,7.76e-05,0.007165857,-8.22e-05,0.0,7,-0.032704234,0.10244151,0.011288351,0.16458338,0.01,0.027343675,0.007124,0.006958,0.005772,0.01,0.0,0.000116982,0.00011698,-0.007742658,-0.05371903,1.222222222,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,53692.40398,2103867.987,0.025520805
CHE,1991,0.000190544,0.000190587,-9.51e-06,0.001179516,8.01e-07,0.0,7,-0.020320049,0.08842252,0.051591393,0.16392769,0.01,0.04203199,0.005314,0.006083,0.005441,0.0,0.0,0.000122026,0.000122026,-0.002113208,-0.038744472,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,12453.33549,354828.3389,0.035096789
CHL,1991,-0.000599578,-0.00070801,0.000723744,0.024601812,-0.00104299,0.0,7,0.06149323,0.094995715,0.028810993,0.1669678,0.009,0.040535226,0.001861,0.003841,0.001871,0.0,0.0,0.000169925,0.000169924,-0.005542085,0.041572288,-0.1,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,5008.551578,64732.68878,0.077372834
CHN,1991,0.000333303,0.000591319,-0.000473354,0.000318853,9.23e-05,0.0,7,0.051446036,0.1395595,0.048153453,0.15959682,0.0015,0.036216706,0.001538,0.006643,0.001327,0.0,0.0,0.00013645,0.000136446,-0.006785229,0.00876322,-0.85,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,30993.26426,2050117.112,0.015117802
CIV,1991,-0.000896255,-0.000235368,-0.000500853,-0.001746701,-0.00132482,0.0,7,-0.04207568,0.0947574,0.03713689,0.16698153,0.0015,-0.009162908,0.008204,0.007551,0.007842001,0.0,0.0,0.000429861,0.000429865,-0.00549379,-0.043945737,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,786.7539843,20581.33934,0.038226569
CMR,1991,0.00035813,-0.000119314,0.000158134,0.000306729,4.99e-05,0.0,7,-0.06519993,0.09411672,0.03260131,0.16698153,0.001,0.028735647,0.008635,0.007338,0.008898,0.0,0.0,0.000286818,0.000286818,-0.00549379,-0.07618286,-0.8,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,983.2698878,21123.55251,0.04654851
COD,1991,-8.81e-05,-0.000230383,-2.96e-05,0.00027014,-3.81e-05,0.0,7,-0.11392622,0.106057495,0.028792718,0.16698153,0.001,0.014350845,0.008747,0.007021,0.008705,0.0,0.0,0.000332162,0.000332162,-0.00549379,-0.10152069,-0.666666667,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,1467.753862,37711.61034,0.038920477
COG,1991,9.21e-05,5.3e-06,-3.66e-05,0.00173841,0.000353088,0.0,7,-0.007279794,0.07756795,0.019234471,0.16698153,0.0045,-0.095670156,0.008747,0.006642,0.006871,0.0,0.0,0.000310235,0.000310229,-0.00549379,-0.018608028,-0.4,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,286.165785,6404.578868,0.044681437
COL,1991,7.56e-05,0.000102305,0.00048347,0.00257591,0.000222582,,7,-0.004122787,0.10422966,0.034772404,0.1669678,0.0095,0.03613617,0.006014,0.001478,0.000193,0.0,0.0,0.00020007,0.000200067,-0.005542085,-0.022663604,2.166666667,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,5397.518735,92409.43453,0.058408741
CPV,1991,-1.03e-05,0.010055129,-5.71e-05,0.000180508,-0.000279108,0.0,7,-0.038374435,0.058719516,0.04477441,0.16698153,,0.028154088,0.004174,0.000766,,0.0,0.0,0.000179775,0.000179775,-0.00549379,-0.071420506,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,40.36230686,766.7782317,0.052638827
CRI,1991,0.001106394,0.00337183,0.000271668,0.00112385,0.000849908,0.0,7,-0.002349448,0.080394894,0.041143525,0.1669678,0.01,0.031000923,0.002368,0.00241,0.000489,0.0,0.0,0.000241041,0.000241041,-0.005542085,-0.023667842,0.176470588,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,567.8499034,14282.70589,0.039757866
CUB,1991,-0.00039897,-0.000982897,-0.000940101,-0.011348406,-0.002355464,0.0,7,-0.124161415,0.092696466,0.045613784,0.1669678,0.0015,,0.005908,0.005059,,0.0,0.0,9.28e-05,9.28e-05,-0.005542085,-0.13902733,-0.85,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,1413.691368,41521.4239,0.034047276
CYM,1991,-0.001232333,0.000214032,-0.0006314,0.014860036,-3.66e-05,0.0,7,,,,0.1669678,,,,,,,0.0,,,-0.005542085,,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,79.57953262,1690.011311,0.047088166
CYP,1991,-0.000250635,-0.001561299,0.000339142,0.004237867,-0.002906121,0.0,7,,,,0.15959682,0.01,0.021972246,0.000939,0.003962,0.003962,0.01,0.0,,,-0.006785229,,5.666666667,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,368.2672028,9965.602617,0.036953832
CZE,1991,0.005502987,0.009950605,0.003526295,0.018396407,0.004171058,,7,-0.11577595,0.092404,0.048930164,0.16392769,,,0.003222,0.006591,0.003233,,,-4.22e-06,-4.22e-06,-0.002113208,-0.13737428,0.0,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,4302.818529,75006.29747,0.057366097
DEU,1991,0.000484981,0.000175608,0.000322873,0.002703198,0.000457422,0.0,7,0.045243565,0.11289585,0.054338742,0.16392769,0.01,0.006931472,0.001682,0.006571,0.001642,0.0,0.0,7.58e-05,7.58e-05,-0.002113208,0.020464532,0.111111111,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,124715.0835,6268859.389,0.019894382
DJI,1991,0.001458021,-0.009596004,-0.000870265,-0.004245236,-0.000244043,0.0,7,-0.0194776,0.05927531,0.027929068,0.16698153,0.001,0.013609766,0.007962,0.000435,0.006558,0.0,0.0,0.000246573,0.000246573,-0.00549379,-0.017349932,-0.9,0.000161764,-0.000444048,0.00930487,0.001992938,-0.000399338,71.98298824,1049.624537,0.06857975
