country,t,outp
BDI,1991,179.8763229
BDI,1992,166.4644708
BDI,1993,153.8865195
BDI,1994,174.4777476
BDI,1995,165.1846467
BDI,1996,133.0772682
BDI,1997,136.7203085
BDI,1998,123.3338666
BDI,1999,110.1210119
BDI,2000,93.07895649
BDI,2001,92.78680821
BDI,2002,87.74180845
BDI,2003,89.57180052
BDI,2004,103.8536255
BDI,2005,109.3163857
BDI,2006,109.2407208
BDI,2007,103.0009425
BDI,2008,118.9697897
BEL,1990,24143.48954
BEL,1991,24771.0813
BEL,1992,27612.88599
BEL,1993,26220.56493
BEL,1994,28667.59117
BEL,1995,33881.97693
BEL,1996,33516.60617
BEL,1997,30690.25472
BEL,1998,31425.59104
BEL,1999,31324.78759
BEL,2000,28942.59834
BEL,2001,29293.22445
BEL,2002,31710.32297
BEL,2003,39088.20217
BEL,2004,45983.35809
BEL,2005,48423.60294
BEL,2006,52760.98262
BEL,2007,61505.49161
BEL,2008,69099.83126
BEN,1990,153.229744
BEN,1991,158.7007497
BEN,1992,177.2906606
BEN,1993,176.1039991
BEN,1994,126.9344987
BEN,1995,180.3558117
BEN,1996,194.1064253
BEN,1997,183.9238992
BEN,1998,203.9757328
BEN,1999,212.2178021
BEN,2000,206.0976368
BEN,2001,228.6164936
BEN,2002,255.9915201
BEN,2003,334.4203374
BEN,2004,388.2784873
BEN,2005,423.4501727
BEN,2006,473.9208973
BEN,2007,560.1434266
BEN,2008,670.2793553
BFA,1990,142.5172442
BFA,1991,142.7155384
BFA,1992,142.7784991
BFA,1993,141.6386692
BFA,1994,116.662714
BFA,1995,137.3144478
BFA,1996,146.5170004
BFA,1997,137.3849595
BFA,1998,154.5908603
BFA,1999,151.6703853
BFA,2000,143.8831859
BFA,2001,142.8671866
BFA,2002,150.8199962
BFA,2003,183.9736582
BFA,2004,217.6873759
BFA,2005,238.3709935
BFA,2006,256.3547619
BFA,2007,286.5093297
BFA,2008,347.6785876
BGD,1990,1693.925675
BGD,1991,1795.342947
BGD,1992,1836.528065
BGD,1993,1927.297706
BGD,1994,2052.181407
BGD,1995,2322.488101
BGD,1996,2420.790026
BGD,1997,2499.698094
BGD,1998,2644.683074
BGD,1999,2801.688575
BGD,2000,2901.659797
BGD,2001,2884.943584
BGD,2002,2966.143906
BGD,2003,3312.227663
BGD,2004,3690.6204
BGD,2005,3858.520562
BGD,2006,4180.578747
BGD,2007,4791.194119
BGD,2008,5589.150349
BGR,1990,2405.678869
BGR,1991,975.7057724
BGR,1992,1136.548713
BGR,1993,1391.464575
BGR,1994,1066.380436
BGR,1995,1424.478879
BGR,1996,1138.77078
BGR,1997,1189.420703
BGR,1998,1385.915852
BGR,1999,1446.264973
BGR,2000,1452.756418
BGR,2001,1621.010825
BGR,2002,1869.224756
BGR,2003,2523.707812
BGR,2004,3201.959925
BGR,2005,3710.924279
BGR,2006,4326.162001
BGR,2007,5488.73932
BGR,2008,6447.4405
BHR,1990,339.941608
BHR,1991,354.9859198
BHR,1992,382.7165171
BHR,1993,412.8892468
BHR,1994,455.9598847
BHR,1995,476.6275936
BHR,1996,485.1431476
BHR,1997,496.9393247
BHR,1998,475.9726556
BHR,1999,502.8502666
BHR,2000,569.8485835
BHR,2001,568.9885388
BHR,2002,608.3012929
BHR,2003,707.7389586
BHR,2004,859.5490728
BHR,2005,1046.470992
BHR,2006,1349.851964
BHR,2007,1622.584624
BHR,2008,2023.600245
BHS,1990,235.359486
BHS,1991,233.1518246
BHS,1992,234.1917645
BHS,1993,234.6818434
BHS,1994,252.0860816
BHS,1995,273.7798329
BHS,1996,296.31396
BHS,1997,316.7506384
BHS,1998,353.7149214
BHS,1999,398.8027647
BHS,2000,416.2959127
BHS,2001,436.2452687
BHS,2002,457.14966
BHS,2003,461.6927889
BHS,2004,487.7096377
BHS,2005,537.5704434
BHS,2006,585.2174345
BHS,2007,615.3124048
BHS,2008,618.3700615
BIH,1990,797.2182938
BIH,1991,632.5870449
BIH,1992,496.5618968
BIH,1993,388.3636906
BIH,1994,300.3356312
BIH,1995,226.0201971
BIH,1996,294.2112792
BIH,1997,369.7209832
BIH,1998,417.4202885
BIH,1999,465.0710167
BIH,2000,517.7088545
BIH,2001,562.3058898
BIH,2002,654.8230588
BIH,2003,858.6991958
BIH,2004,1034.878933
BIH,2005,1089.975838
BIH,2006,1196.248762
BIH,2007,1450.103094
BIH,2008,1726.327229
BLR,1990,17.85072699
BLR,1991,14.0787013
BLR,1992,27.41670861
BLR,1993,26.44958144
BLR,1994,27.81012892
BLR,1995,27.2813845
BLR,1996,27.90265939
BLR,1997,35.48688491
BLR,1998,35.9195789
BLR,1999,32.83517255
BLR,2000,44.3336196
BLR,2001,39.60933598
BLR,2002,41.7024449
BLR,2003,46.16066413
BLR,2004,59.28273482
BLR,2005,70.01712042
BLR,2006,85.37970406
BLR,2007,106.3862315
BLR,2008,140.4457191
BLZ,1990,40.76141884
BLZ,1991,42.7727195
BLZ,1992,48.11908189
BLZ,1993,50.8757274
BLZ,1994,54.42531543
BLZ,1995,59.17090299
BLZ,1996,72.23601607
BLZ,1997,70.77966173
BLZ,1998,71.70279098
BLZ,1999,77.57100345
BLZ,2000,86.71512318
BLZ,2001,91.26303096
BLZ,2002,96.32628551
BLZ,2003,105.3833469
BLZ,2004,116.7645002
BLZ,2005,125.9011507
BLZ,2006,143.1668598
BLZ,2007,157.3405414
BLZ,2008,174.5460448
BMU,1990,132.4530973
BMU,1991,137.4194698
BMU,1992,142.3893917
BMU,1993,148.1522312
BMU,1994,154.2392915
BMU,1995,162.3291619
BMU,1996,168.4501348
BMU,1997,173.6682493
BMU,1998,180.2908508
BMU,1999,188.2683876
BMU,2000,187.2644737
BMU,2001,198.651356
BMU,2002,219.4232307
BMU,2003,239.1249863
BMU,2004,280.4943115
BMU,2005,309.4060247
BMU,2006,348.98309
BMU,2007,380.9081111
BMU,2008,399.9173292
BOL,1990,799.6636321
BOL,1991,886.612707
BOL,1992,958.7326663
BOL,1993,988.5686461
BOL,1994,1032.65334
BOL,1995,1161.541196
BOL,1996,1274.262614
BOL,1997,1369.546531
BOL,1998,1476.42638
BOL,1999,1445.541041
BOL,2000,1495.574372
BOL,2001,1443.11499
BOL,2002,1394.381208
BOL,2003,1426.557913
BOL,2004,1560.792459
BOL,2005,1689.235203
BOL,2006,2047.73004
BOL,2007,2397.402436
BOL,2008,3076.007601
BRA,1990,32143.15313
BRA,1991,28105.02514
BRA,1992,27474.50309
BRA,1993,28800.60413
BRA,1994,36941.77343
BRA,1995,53370.19346
BRA,1996,57168.80502
BRA,1997,59961.19728
BRA,1998,59032.08527
BRA,1999,41474.47389
BRA,2000,48015.46796
BRA,2001,42080.52534
BRA,2002,38291.36635
BRA,2003,42756.57437
BRA,2004,51289.58099
BRA,2005,67976.73526
BRA,2006,83943.95262
BRA,2007,104722.4492
BRA,2008,130477.3278
BRB,1990,208.636007
BRB,1991,208.5081462
BRB,1992,205.2743239
BRB,1993,219.1439711
BRB,1994,231.2639265
BRB,1995,247.3324388
BRB,1996,257.7086177
BRB,1997,259.2713066
BRB,1998,276.6731385
BRB,1999,288.1023914
BRB,2000,282.0027692
BRB,2001,299.8004119
BRB,2002,303.4316784
BRB,2003,334.3848867
BRB,2004,387.9871515
BRB,2005,443.7576711
BRB,2006,499.7115099
BRB,2007,562.9240152
BRB,2008,594.0646984
BRN,1990,317.6060484
BRN,1991,338.8917558
BRN,1992,380.6662919
BRN,1993,381.406565
BRN,1994,384.0073227
BRN,1995,463.4825274
BRN,1996,500.6375787
BRN,1997,502.4076234
BRN,1998,386.1189043
BRN,1999,438.5976731
BRN,2000,563.9793754
BRN,2001,536.6891656
BRN,2002,550.6409876
BRN,2003,626.4787091
BRN,2004,762.9881854
BRN,2005,903.8315781
BRN,2006,1080.347972
