country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,avgs1,avgs2,avgs6,avgs10,avgs19
BGD,1991,-0.001648657,-0.004575759,-0.004270308,-0.003521722,-0.001564946,0.0,7,0.010073495,0.11644036,0.06746869,0.15959682,0.008,-0.095670156,0.000454,0.00209,0.000925,0.01,0.0,0.000228249,0.000228249,-0.006785229,-0.003773195,0.6,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BGR,1991,0.072225312,0.051622007,0.098083081,0.074056594,0.068019573,0.0,7,-0.07129642,0.09079362,0.043738943,0.16392769,0.009,0.03010621,0.004021,0.005965,0.003031,0.0,0.0,-0.000137739,-0.000137731,-0.002113208,-0.09436564,3.5,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BHR,1991,0.001141459,-0.0397502,0.005638595,-0.000694977,-0.003006501,0.0,7,0.016039034,0.06244621,0.06652589,0.15959682,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.000290614,0.00029061,-0.006785229,-0.006351847,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BHS,1991,0.002031629,-9.63e-05,-0.001656458,-0.00188196,-0.001900272,0.0,7,,,,0.1669678,,-0.095670156,0.004228,0.006815,0.001855,0.01,0.0,,,-0.005542085,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BIH,1991,0.003019276,0.004504198,0.014048146,0.007529562,0.003144734,1.0,7,,0.08400526,0.044661738,0.16392769,,0.041026432,0.0063,0.006851,0.006751,,0.0,,,-0.002113208,,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BLR,1991,0.154372765,0.123514816,0.188576107,0.149578936,0.154618338,0.0,7,-0.014386468,0.09230633,0.038950197,0.16392769,0.0085,,0.003222,0.006116,0.004666,0.0,0.0,3.92e-06,3.92e-06,-0.002113208,-0.049160637,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BLZ,1991,0.002892276,-0.027090738,0.005808665,-0.010686351,-0.003308243,0.0,7,,,,0.1669678,,0.013083329,0.007015,0.005813,0.006303,0.01,0.0,,,-0.005542085,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BMU,1991,-0.006552034,-0.048172076,-0.012914617,-0.006809189,-0.003860133,0.0,7,,,,0.16458338,,,,0.007112,,0.01,0.0,,,-0.007742658,,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BOL,1991,-0.000337976,-0.001241739,-0.000678245,-1.31e-05,0.00070219,0.0,7,0.029320166,0.08814551,0.01825778,0.1669678,0.0095,0.035807375,0.007396,0.002085,0.00224,0.0,0.0,0.000236884,0.000236884,-0.005542085,0.019794732,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BRA,1991,0.001410479,0.003855874,0.006392263,0.011332544,0.002977126,0.0,7,-0.005874591,0.11942003,0.028993111,0.1669678,0.009,0.011314021,0.005408,0.006054001,0.000468,0.0,0.0,0.000158429,0.000158425,-0.005542085,-0.028208852,0.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BRB,1991,0.005417862,0.00013752,0.01276796,0.003055649,0.000569026,0.0,7,,,,0.1669678,,-0.095670156,0.001423,0.006934,0.000926,0.01,0.0,,,-0.005542085,,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BRN,1991,-0.011926073,-0.03581186,-0.016202839,-0.01224133,-0.013292464,0.0,7,,,,0.15959682,,,0.005416,0.004404,0.003438,0.01,0.0,,,-0.006785229,,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BTN,1991,0.002179812,0.034812056,0.017417247,0.020795114,0.007676849,0.0,7,,,,0.15959682,0.0,0.045464814,0.00605,0.003787,0.006056,0.01,0.0,,,-0.006785229,,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
BWA,1991,-0.001670658,-0.019001561,-0.001623753,0.00305813,-0.000787571,0.0,7,0.017045386,0.07172504,0.008002603,0.16698153,0.0085,-0.095670156,0.004102,0.005986,0.00411,0.01,0.0,0.000299834,0.000299837,-0.00549379,-0.030490797,0.307692308,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CAF,1991,0.001199487,0.007878246,0.001542777,0.000926483,0.002061293,0.0,7,-0.034093164,0.08063049,0.01628528,0.16698153,0.002,0.014816046,0.008295001,0.007916,0.008334,0.0,0.0,0.000286698,0.0002867,-0.00549379,-0.028466556,-0.777777778,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CAN,1991,-0.002427234,-0.002493199,-0.002000177,-0.001459158,-0.000832055,0.0,7,-0.032704234,0.10244151,0.011288351,0.16458338,0.01,0.027343675,0.007124,0.006958,0.005772,0.01,0.0,0.000116982,0.00011698,-0.007742658,-0.05371903,1.222222222,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CHE,1991,0.001594588,0.001593934,0.005452099,0.007258604,0.002902871,0.0,7,-0.020320049,0.08842252,0.051591393,0.16392769,0.01,0.04203199,0.005314,0.006083,0.005441,0.0,0.0,0.000122026,0.000122026,-0.002113208,-0.038744472,0.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CHL,1991,-0.003685368,-0.006818181,-0.011836713,-0.006158334,-0.007926049,0.0,7,0.06149323,0.094995715,0.028810993,0.1669678,0.009,0.040535226,0.001861,0.003841,0.001871,0.0,0.0,0.000169925,0.000169924,-0.005542085,0.041572288,-0.1,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CHN,1991,0.000324594,0.000425628,-0.004416823,0.001310088,-0.000188009,0.0,7,0.051446036,0.1395595,0.048153453,0.15959682,0.0015,0.036216706,0.001538,0.006643,0.001327,0.0,0.0,0.00013645,0.000136446,-0.006785229,0.00876322,-0.85,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CIV,1991,0.000644887,-0.008370892,-0.008296849,-0.004752363,-0.003443745,0.0,7,-0.04207568,0.0947574,0.03713689,0.16698153,0.0015,-0.009162908,0.008204,0.007551,0.007842001,0.0,0.0,0.000429861,0.000429865,-0.00549379,-0.043945737,0.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CMR,1991,0.006794376,0.001106537,0.009184082,0.001941082,0.002575448,0.0,7,-0.06519993,0.09411672,0.03260131,0.16698153,0.001,0.028735647,0.008635,0.007338,0.008898,0.0,0.0,0.000286818,0.000286818,-0.00549379,-0.07618286,-0.8,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
COD,1991,-0.004041666,-0.003063841,-0.003652445,-0.003360852,-0.008905223,0.0,7,-0.11392622,0.106057495,0.028792718,0.16698153,0.001,0.014350845,0.008747,0.007021,0.008705,0.0,0.0,0.000332162,0.000332162,-0.00549379,-0.10152069,-0.666666667,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
COG,1991,-0.000444056,-0.001366087,-0.00267406,-0.000910528,-0.000602794,0.0,7,-0.007279794,0.07756795,0.019234471,0.16698153,0.0045,-0.095670156,0.008747,0.006642,0.006871,0.0,0.0,0.000310235,0.000310229,-0.00549379,-0.018608028,-0.4,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
COL,1991,0.000341396,0.000199715,0.004877448,0.004523828,0.000813572,,7,-0.004122787,0.10422966,0.034772404,0.1669678,0.0095,0.03613617,0.006014,0.001478,0.000193,0.0,0.0,0.00020007,0.000200067,-0.005542085,-0.022663604,2.166666667,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CPV,1991,-0.000844563,-0.042259047,-0.00637026,-0.007848463,-0.003136165,0.0,7,-0.038374435,0.058719516,0.04477441,0.16698153,,0.028154088,0.004174,0.000766,,0.0,0.0,0.000179775,0.000179775,-0.00549379,-0.071420506,-1.0,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
CRI,1991,0.007738365,-0.006074405,0.025017742,0.013196831,0.009616273,0.0,7,-0.002349448,0.080394894,0.041143525,0.1669678,0.01,0.031000923,0.002368,0.00241,0.000489,0.0,0.0,0.000241041,0.000241041,-0.005542085,-0.023667842,,0.001930472127071823,-0.009160140044198895,-0.011416511756906077,0.003105176099447514,0.0010563133370165745
