country,t,s1,s2,s6,s10,s19,onset2COWCS,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,democracy_diff,trans_outp,gross output,trans_outp_p,avgs1,avgs2,avgs6,avgs10,avgs19
BEN,1991,0.000590816,-0.001516571,4.43e-05,-7.32e-05,0.000202693,0.0,7,0.014734026,0.084877774,0.037816763,0.16698153,0.008,-0.095670156,0.007871999,0.005544,0.007905,0.0,0.0,0.000313021,0.000313021,-0.00549379,0.009892043,-0.111111111,158.7007497,438.1113724,0.362238371,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BFA,1991,-0.000695831,0.000702944,0.000102439,1.64e-05,-0.000311391,0.0,7,0.06420757,0.09064417,0.034520198,0.16698153,0.0025,-0.095670156,0.007377,0.005798,0.007228,0.0,0.0,0.000330791,0.000330798,-0.00549379,0.049520146,-0.705882353,142.7155384,621.7378148,0.22954296,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BGD,1991,0.000140377,0.001428371,0.000270793,1.2e-05,0.000530408,0.0,7,0.010073495,0.11644036,0.06746869,0.15959682,0.008,-0.095670156,0.000454,0.00209,0.000925,0.01,0.0,0.000228249,0.000228249,-0.006785229,-0.003773195,0.6,1795.342947,6518.071396,0.275440823,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BGR,1991,0.003951421,0.010784162,0.00797912,0.003327039,0.015168939,0.0,7,-0.07129642,0.09079362,0.043738943,0.16392769,0.009,0.03010621,0.004021,0.005965,0.003031,0.0,0.0,-0.000137739,-0.000137731,-0.002113208,-0.09436564,3.5,975.7057724,5177.33622,0.188457101,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BHR,1991,0.000533643,0.006886419,0.001585634,0.000167789,-0.000820602,0.0,7,0.016039034,0.06244621,0.06652589,0.15959682,0.0,-0.095670156,0.005021,0.005528,0.004344,0.01,0.0,0.000290614,0.00029061,-0.006785229,-0.006351847,-1.0,354.9859198,818.7029374,0.433595513,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BHS,1991,0.001931689,0.002289509,0.000434905,-7.5e-05,-0.000219272,0.0,7,,,,0.1669678,,-0.095670156,0.004228,0.006815,0.001855,0.01,0.0,,,-0.005542085,,0.0,233.1518246,500.9316504,0.465436401,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BIH,1991,0.001516267,0.000538192,0.001384533,5.24e-05,0.00152484,1.0,7,,0.08400526,0.044661738,0.16392769,,0.041026432,0.0063,0.006851,0.006751,,0.0,,,-0.002113208,,0.0,632.5870449,1513.138443,0.4180629,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BLR,1991,-0.011757353,-0.022065028,-0.022980663,-0.036480794,-0.010499893,0.0,7,-0.014386468,0.09230633,0.038950197,0.16392769,0.0085,,0.003222,0.006116,0.004666,0.0,0.0,3.92e-06,3.92e-06,-0.002113208,-0.049160637,0.7,14.0787013,39.84408402,0.353344835,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BLZ,1991,-0.001634916,0.000469208,0.002971467,-0.000460408,-0.003150352,0.0,7,,,,0.1669678,,0.013083329,0.007015,0.005813,0.006303,0.01,0.0,,,-0.005542085,,0.0,42.7727195,110.1833897,0.388195713,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BMU,1991,3.22e-05,0.006963339,0.000434633,4.33e-05,-0.000692147,0.0,7,,,,0.16458338,,,,0.007112,,0.01,0.0,,,-0.007742658,,0.0,137.4194698,256.5581652,0.535626959,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BOL,1991,-0.000951528,-0.001994211,-0.001124286,-3.85e-05,5.91e-06,0.0,7,0.029320166,0.08814551,0.01825778,0.1669678,0.0095,0.035807375,0.007396,0.002085,0.00224,0.0,0.0,0.000236884,0.000236884,-0.005542085,0.019794732,5.333333333,886.612707,2080.652435,0.426122447,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BRA,1991,0.001537552,-0.000420936,0.002371207,0.00065883,0.001909666,0.0,7,-0.005874591,0.11942003,0.028993111,0.1669678,0.009,0.011314021,0.005408,0.006054001,0.000468,0.0,0.0,0.000158429,0.000158425,-0.005542085,-0.028208852,0.0,28105.02514,109785.3232,0.25599984,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BRB,1991,0.004342889,0.002342783,0.001311461,0.000243229,0.001157194,0.0,7,,,,0.1669678,,-0.095670156,0.001423,0.006934,0.000926,0.01,0.0,,,-0.005542085,,0.0,208.5081462,473.4406305,0.440410334,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BRN,1991,0.000146006,0.001591211,0.000704474,0.000217076,0.00078538,0.0,7,,,,0.15959682,,,0.005416,0.004404,0.003438,0.01,0.0,,,-0.006785229,,0.0,338.8917558,787.917563,0.430110676,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BTN,1991,0.002278286,0.003860445,0.000530891,7.5e-05,0.001195607,0.0,7,,,,0.15959682,0.0,0.045464814,0.00605,0.003787,0.006056,0.01,0.0,,,-0.006785229,,-1.0,21.73577029,95.25746905,0.228179171,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
BWA,1991,0.000926229,-0.001542122,-0.000519435,-0.000109812,-0.000487113,0.0,7,0.017045386,0.07172504,0.008002603,0.16698153,0.0085,-0.095670156,0.004102,0.005986,0.00411,0.01,0.0,0.000299834,0.000299837,-0.00549379,-0.030490797,0.307692308,188.0391549,593.8921892,0.316621701,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CAF,1991,0.002269515,0.000405616,0.000305235,7.7e-06,0.002305025,0.0,7,-0.034093164,0.08063049,0.01628528,0.16698153,0.002,0.014816046,0.008295001,0.007916,0.008334,0.0,0.0,0.000286698,0.0002867,-0.00549379,-0.028466556,-0.777777778,131.9741248,376.678555,0.350362724,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CAN,1991,8.3e-05,0.000105617,7.55e-05,0.000488779,0.000115561,0.0,7,-0.032704234,0.10244151,0.011288351,0.16458338,0.01,0.027343675,0.007124,0.006958,0.005772,0.01,0.0,0.000116982,0.00011698,-0.007742658,-0.05371903,1.222222222,53692.40398,182347.7325,0.294450626,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CHE,1991,0.001106901,0.001106905,0.004511611,0.003179705,0.003508056,0.0,7,-0.020320049,0.08842252,0.051591393,0.16392769,0.01,0.04203199,0.005314,0.006083,0.005441,0.0,0.0,0.000122026,0.000122026,-0.002113208,-0.038744472,0.0,12453.33549,34421.09806,0.361793673,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CHL,1991,-0.001276054,-0.000250859,-0.000949396,0.000589657,-0.001047314,0.0,7,0.06149323,0.094995715,0.028810993,0.1669678,0.009,0.040535226,0.001861,0.003841,0.001871,0.0,0.0,0.000169925,0.000169924,-0.005542085,0.041572288,-0.1,5008.551578,10715.7645,0.467400304,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CHN,1991,-0.002402041,-0.001656571,-0.001919204,-0.001098449,-0.005603672,0.0,7,0.051446036,0.1395595,0.048153453,0.15959682,0.0015,0.036216706,0.001538,0.006643,0.001327,0.0,0.0,0.00013645,0.000136446,-0.006785229,0.00876322,-0.85,30993.26426,198200.5174,0.156373276,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
CIV,1991,0.001165039,0.000895383,0.00116597,3.49e-05,0.000629738,0.0,7,-0.04207568,0.0947574,0.03713689,0.16698153,0.0015,-0.009162908,0.008204,0.007551,0.007842001,0.0,0.0,0.000429861,0.000429865,-0.00549379,-0.043945737,0.0,786.7539843,3060.164477,0.257095326,-0.00048471760220994474,-0.002022898563535912,0.0029283977790055243,-0.0006795704640883978,-0.000736694729281768
