country,t,gross_output
ATG,1999,1487.311548
ATG,2000,1542.904479
ATG,2001,1590.463895
ATG,2002,1628.596193
ATG,2003,1758.913367
ATG,2004,1913.743871
ATG,2005,2163.059842
ATG,2006,2531.124051
ATG,2007,2936.677515
ATG,2008,3057.76435
ATG,2009,2571.333723
ATG,2010,2550.838409
ATG,2011,2544.757883
ATG,2012,2693.954563
ATG,2013,2800.187947
ATG,2014,2871.988667
ATG,2015,2772.159101
AUS,1965,55471.29722
AUS,1966,61678.16799
AUS,1967,65236.24555
AUS,1968,73294.80998
AUS,1969,82210.48261
AUS,1970,88725.60154
AUS,1971,101865.6382
AUS,1972,122218.5988
AUS,1973,167203.3166
AUS,1974,193937.7076
AUS,1975,204353.6865
AUS,1976,214741.4762
AUS,1977,211146.0292
AUS,1978,244337.3723
AUS,1979,274410.4393
AUS,1980,328212.1658
AUS,1981,371318.9844
AUS,1982,357271.2004
AUS,1983,353000.1603
AUS,1984,373205.1239
AUS,1985,323434.9986
AUS,1986,334456.8627
AUS,1987,400382.988
AUS,1988,513080.7164
AUS,1989,576111.4804
AUS,1990,1058331.45
AUS,1991,1076519.523
AUS,1992,1075468.198
AUS,1993,1036855.821
AUS,1994,1240676.839
AUS,1995,2857518.888
AUS,1996,3159525.696
AUS,1997,3208091.762
AUS,1998,2957588.867
AUS,1999,3152917.675
AUS,2000,4689138.713
AUS,2001,2952497.48
AUS,2002,3228562.815
AUS,2003,4070649.002
AUS,2004,4984929.118
AUS,2005,5630787.086
AUS,2006,6012275.647
AUS,2007,9228974.762
AUS,2008,10055713.2
AUS,2009,9733734.984
AUS,2010,11905037.58
AUS,2011,14105315.49
AUS,2012,11647386.9
AUS,2013,11377694.74
AUS,2014,10964334.31
AUS,2015,7464315.655
AUS,2016,4760408.292
AUS,2017,5209406.484
AUS,2018,5382492.179
AUS,2019,5178821.344
AUS,2020,5192567.336
AUS,2021,2909046.425
AUT,1965,17753.74445
AUT,1966,19277.46664
AUT,1967,20450.70726
AUT,1968,21766.80497
AUT,1969,23875.88178
AUT,1970,27174.34739
AUT,1971,31449.03972
AUT,1972,38719.98352
AUT,1973,48260.68209
AUT,1974,58308.67826
AUT,1975,65634.52733
AUT,1976,70502.87867
AUT,1977,83951.45357
AUT,1978,100877.2608
AUT,1979,120847.7456
AUT,1980,136483.5279
AUT,1981,118996.0163
AUT,1982,119267.1578
AUT,1983,120094.6131
AUT,1984,112826.5386
AUT,1985,116012.7317
AUT,1986,161575.1577
AUT,1987,201428.5818
AUT,1988,218283.3762
AUT,1989,220324.9732
AUT,1990,564398.8626
AUT,1991,588259.9812
AUT,1992,661179.4494
AUT,1993,643094.2638
AUT,1994,691048.3728
