country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix
ABW,10,1990,eora,,,,,,,
ABW,10,1991,eora,0.041683744148620194,-0.24225537144980297,-0.3729541019265099,0.6568932175249405,0.13539555330016395,-0.11388516755810008,0.6353828317828762
ABW,10,1992,eora,0.06924022206073,0.08831320343108695,-0.35717636931818975,0.3381033879478297,0.07500561206685308,-0.19428645726621996,0.4573842331471969
ABW,10,1993,eora,-0.016170233105670118,-0.06053426205315093,0.15544650364614965,-0.11108247469867916,-0.009369244693343104,0.058334260152840045,-0.16004749015817588
ABW,10,1994,eora,0.08847782870298992,-0.09891410061002903,-0.24076215062998996,0.42815407994301946,0.139687911162504,-0.11402253339105006,0.4024887021715653
ABW,10,1995,eora,-0.006912786862039999,-0.177594742643293,-0.6122319698102201,0.7829139255914699,0.16292838791306008,-0.35916936736489014,0.9791549050433002
ABW,10,1996,eora,0.42159547895096017,-1.1502108070816222,1.3335791190113904,0.23822716702118996,0.4264319996335799,0.2063226616953302,-0.3945274943077193
ABW,10,1997,eora,1.10573037199297,-1.60745887482503,2.7642384295185773,-0.05104918270057013,0.6505125120566002,0.38260231822048985,-1.084164012977661
ABW,10,1998,eora,10.54363535669264,3.381324444170941,8.011270466141912,-0.8489595536201797,1.03213514582772,1.005904418380188,-2.8869991178280867
ABW,10,1999,eora,2.0415306628277,0.8424126535421359,1.0220499458446497,0.1770680634408306,0.24661886505930974,0.036519554595888,-0.10607035621436811
ABW,10,2000,eora,7.956625840546801,5.8228544767523225,1.8617853247546492,0.2719860390398292,0.2602637191439201,0.1037412391894922,-0.09201891929358297
ABW,10,2001,eora,-3.890840289792699,-2.7749513443208897,-1.0375645741441115,-0.0783243713276196,-0.08018203467567986,-0.0313854033356918,0.0332430666837511
ABW,10,2002,eora,-0.9285808257629,-0.6875340413214102,-0.07695750253656719,-0.16408928190498084,-0.016157172979540224,-0.0245303898927555,-0.12340171903268304
ABW,10,2003,eora,2.6649115024249,1.3042439970416804,0.6118494448446796,0.7488180605384898,0.3078535344433502,0.1026725046221798,0.338292021472959
ABW,10,2004,eora,2.665287574446797,0.07527198165773985,0.9221462310487993,1.6678693617404008,0.7508651351191098,0.015993517283601405,0.9010107093376889
ABW,10,2005,eora,2.1777283222857022,-0.16461195541807072,1.0574786238148999,1.2848616538888127,0.63515129676329,-0.0032385039954081,0.6529488611209291
ABW,10,2006,eora,2.7269935238253993,-0.29905090714254934,1.2088653946829009,1.817179036284987,1.0266378180089406,-0.009416363536570604,0.7999575818126186
ABW,10,2007,eora,2.1953766172541016,-0.72485122485647,1.7009998504445,1.2192279916661999,0.6919816129051792,-0.0407530332509021,0.5679994120119245
ABW,10,2008,eora,2.6381279812732004,-0.47405448299831,1.0560271634714002,2.0561553008001,1.0086952612831706,-0.0217982965337458,1.069258336050674
ABW,10,2009,eora,-2.6880601873155037,0.04094834214158993,-0.8405240157860003,-1.8884845136710986,-0.9502614796906306,0.013066046141548299,-0.9512890801220193
ABW,10,2010,eora,1.3173235761854052,-1.46729475757527,0.9236178490594984,1.861000484701199,0.9515343517229207,-0.0588556401804451,0.9683217731587259
ABW,10,2011,eora,6.088873838774994,-1.09494704161885,2.5040176897235007,4.679803190670299,2.1743683245038596,-0.07641727272473571,2.5818521388911755
ABW,10,2012,eora,0.9214778339939045,0.9936722846580502,0.17589912767139992,-0.24809357833559886,-0.09449379330460062,0.07268708661299661,-0.22628687164399608
ABW,10,2013,eora,1.391746512619001,0.35079687863115994,0.0587003071655019,0.9822493268222985,0.24746702981210156,0.022345643767119797,0.7124366532430813
ABW,10,2014,eora,1.1865127443257961,0.27249395871785986,0.7441539642345987,0.16986482137330228,0.1990925064216995,0.005223344705680602,-0.03445102975407899
ABW,10,2015,eora,-3.8461930941186964,0.027983473238279988,-1.3852356578059002,-2.488940909551001,-1.1046822936054301,-0.0091209520347946,-1.3751376639107757
AFG,10,1990,eora,,,,,,,
AFG,10,1991,eora,-10.458627742171018,-13.234570657447989,1.9413750041882007,0.8345679110894295,0.42464988283250005,-0.011884985184655,0.42180301344158533
AFG,10,1992,eora,7.534213406365012,2.8856971170189922,3.176385499952799,1.4721307893922901,0.6936924037199299,0.015499750185584,0.7629386354867758
AFG,10,1993,eora,-32.99280896652601,-32.00607432455399,-0.5369215144918993,-0.4498131274789099,-0.16726115784498985,-0.007812794806275003,-0.2747391748276451
AFG,10,1994,eora,-22.387316295215996,-22.103530316954306,-0.3737731506277999,0.0899871723658201,0.09006191908525008,-0.0004450161045329859,0.00037026938510331675
AFG,10,1995,eora,52.225569187798996,44.5750502884933,5.129208614703401,2.5213102846015696,1.3276960653458896,0.02280817142743599,1.1708060478282434
AFG,10,1996,eora,-3.2556443745519914,-4.0472699369649945,0.32659075460329845,0.46503480781055906,0.24617901909708984,0.008629415403708984,0.21022637330975957
AFG,10,1997,eora,-4.019034513933008,-5.233047055954003,0.8257819304700007,0.38823061155081895,0.18187887960054105,0.01730692644506901,0.18904480550521185
AFG,10,1998,eora,-1.2261306502090008,0.7016624359939954,-1.174201941346002,-0.7535911448567472,-0.2902443044499208,0.014642936585314015,-0.4779897769921426
AFG,10,1999,eora,-7.637114991777992,-8.842309609826998,0.8596284061881008,0.34556621186045966,0.2189436972775205,-0.0041876081457440095,0.13081012272868353
AFG,10,2000,eora,38.717178010656994,31.58568156644199,4.8212839981339,2.3102124460813602,1.19406410335099,0.02925338489780699,1.0868949578325635
AFG,10,2001,eora,8.504655153714992,7.832820229898999,0.3383266594613019,0.33350826435379943,0.3405653626286398,0.007582341317342006,-0.014639439592183834
AFG,10,2002,eora,24.713889699787018,22.334341292890002,1.8292474516213986,0.5503009552771001,0.049462607230359446,0.011920040947143024,0.48891830709959816
AFG,10,2003,eora,45.984594493998,28.832688290592017,11.247131181124299,5.9047750222811,3.297909100190278,0.07374572689428899,2.533120195196533
AFG,10,2004,eora,34.291443531123974,24.509431336440002,6.2928053796022,3.489206815081701,1.8438483323254715,0.030876161487203013,1.614482321269021
