country,t,gross output
ARM,2014,2833.07888444
ARM,2015,2782.61301369
ATG,1990,114.90601152900001
ATG,1991,121.821020806
ATG,1992,124.34974299
ATG,1993,132.33035627200002
ATG,1994,149.42365968500002
ATG,1995,150.606546386
ATG,1996,160.98160124999998
ATG,1997,157.857130283
ATG,1998,160.891952454
ATG,1999,170.141289335
ATG,2000,184.27150977500003
ATG,2001,190.79119127
ATG,2002,196.149630353
ATG,2003,218.603091428
ATG,2004,243.018553178
ATG,2005,272.302205459
ATG,2006,323.885011503
ATG,2007,365.48902148
ATG,2008,382.82867654300003
ATG,2009,321.143580702
ATG,2010,321.152344077
ATG,2011,325.777928272
ATG,2012,350.820790688
ATG,2013,365.486407491
ATG,2014,370.866370835
ATG,2015,352.406667766
AUS,1990,66775.249113
AUS,1991,62671.67653
AUS,1992,61515.121028
AUS,1993,59013.68896
AUS,1994,71608.217924
AUS,1995,89096.334292
AUS,1996,97303.932539
AUS,1997,95999.234363
AUS,1998,92949.616853
AUS,1999,101573.783771
AUS,2000,98818.092248
AUS,2001,95227.953925
AUS,2002,105049.039016
AUS,2003,127343.05436000001
AUS,2004,154937.19985
AUS,2005,173540.610403
AUS,2006,176920.480931
AUS,2007,230686.616831
AUS,2008,218330.994248
AUS,2009,209149.620473
AUS,2010,268452.260976
AUS,2011,319150.35474700003
AUS,2012,324996.8029
AUS,2013,317382.89136500005
AUS,2014,318364.912459
AUS,2015,313133.31400899997
AUT,1990,37434.127430370005
AUT,1991,39229.697667582004
AUT,1992,44403.60409881199
AUT,1993,42592.444538117
AUT,1994,46020.752362127
AUT,1995,55271.800760802
AUT,1996,55230.794570490994
AUT,1997,50335.916418436
AUT,1998,51986.249871333
AUT,1999,52135.023982453
AUT,2000,50076.73112612
AUT,2001,50616.43607291
AUT,2002,54310.61724717
AUT,2003,67059.31706413999
AUT,2004,79242.19212969
AUT,2005,84287.66605323
AUT,2006,93700.54674558999
AUT,2007,110179.47387484
AUT,2008,122332.90211691
AUT,2009,106573.61257535999
AUT,2010,110212.62573893
AUT,2011,124209.39320202
AUT,2012,124994.38031793
AUT,2013,130762.82567861001
AUT,2014,130975.23811425
AUT,2015,126527.13850403999
AZE,1990,1594.477192851
AZE,1991,1748.3252274850001
AZE,1992,1562.87730305
AZE,1993,1310.52447121
AZE,1994,1101.70799434
AZE,1995,896.343681748
AZE,1996,1021.245782242
AZE,1997,1148.60939966
AZE,1998,1260.4276535
AZE,1999,1190.64901752
AZE,2000,1249.60831681
AZE,2001,1390.63181962
AZE,2002,1528.11291269
AZE,2003,1874.44442248
AZE,2004,2265.8793768200003
AZE,2005,3083.1202451999998
AZE,2006,4186.42496888
AZE,2007,5831.27666035
AZE,2008,7679.76229809
AZE,2009,7324.90576697
AZE,2010,8657.09209435
AZE,2011,10449.904800100001
AZE,2012,10666.9478658
AZE,2013,11483.730539600001
AZE,2014,11796.7244837
AZE,2015,11560.2045853
BDI,1990,467.11790634700003
BDI,1991,459.136828638
BDI,1992,414.88579582299997
BDI,1993,370.440517984
BDI,1994,404.370075108
BDI,1995,371.42365480800004
BDI,1996,297.535495159
BDI,1997,309.802973898
BDI,1998,282.721634287
BDI,1999,251.611316274
BDI,2000,213.41346833199998
BDI,2001,212.180142611
BDI,2002,202.170784931
BDI,2003,206.838818348
BDI,2004,248.368767908
BDI,2005,288.823628699
BDI,2006,407.927808051
BDI,2007,412.398832386
BDI,2008,549.671113727
BDI,2009,638.356581492
BDI,2010,736.64015853
BDI,2011,842.10709079
BDI,2012,857.59325152
BDI,2013,917.77150277
BDI,2014,940.84060116
BDI,2015,933.9165116
BEL,1990,57730.1234467
BEL,1991,59420.327279100005
BEL,1992,66656.50273390001
BEL,1993,62339.8158874
BEL,1994,68542.6452858
BEL,1995,81522.345044
BEL,1996,80863.6533054
BEL,1997,74911.511884
BEL,1998,76557.0184339
BEL,1999,76870.19552810001
BEL,2000,72798.031456
BEL,2001,73189.628988
BEL,2002,78611.2610799
BEL,2003,96992.3681357
BEL,2004,115297.582151
BEL,2005,122510.9081415
BEL,2006,135426.4045266
BEL,2007,158275.9272864
BEL,2008,178634.66585000002
BEL,2009,155926.7809413
BEL,2010,162799.7869002
BEL,2011,180682.86419639998
BEL,2012,181691.1361942
BEL,2013,190455.7589272
BEL,2014,190733.8583691
BEL,2015,185338.3597961
BEN,1990,429.95724337400003
BEN,1991,438.11137239699997
BEN,1992,484.746836455
BEN,1993,478.83630331899997
BEN,1994,341.862471309
BEN,1995,479.577706428
BEN,1996,551.689437818
BEN,1997,550.843453274
BEN,1998,594.167922722
BEN,1999,553.63979399
BEN,2000,510.555552102
BEN,2001,558.981991725
BEN,2002,625.850589466
BEN,2003,809.5824316129999
BEN,2004,933.95224495
BEN,2005,1017.65935118
BEN,2006,1126.87007401
BEN,2007,1321.79962777
BEN,2008,1586.68816186
BEN,2009,1571.29652889
BEN,2010,1590.194824
BEN,2011,1790.64089361
BEN,2012,1851.06881035
BEN,2013,2065.38619797
BEN,2014,2123.56452421
BEN,2015,2091.92995213
BFA,1990,627.495926751
BFA,1991,621.737814819
BFA,1992,624.524529226
BFA,1993,579.632389214
BFA,1994,415.39079954299996
BFA,1995,476.390360634
BFA,1996,497.878632934
BFA,1997,463.247283691
BFA,1998,509.850428204
BFA,1999,499.196941952
BFA,2000,447.925951053
BFA,2001,506.41541988899996
BFA,2002,562.580514631
BFA,2003,736.557349276
BFA,2004,890.55680585
BFA,2005,1025.37008184
BFA,2006,1118.50889516
BFA,2007,1223.34988245
BFA,2008,1645.7660747099999
BFA,2009,1625.24850977
BFA,2010,1608.4437866
BFA,2011,1949.92670531
BFA,2012,1990.11019764
BFA,2013,2150.9521073
BFA,2014,2211.93752932
BFA,2015,2198.78453406
BGD,1990,6119.45805896
BGD,1991,6518.07139615
BGD,1992,6653.83883806
BGD,1993,6737.6574910399995
BGD,1994,7181.228086810001
BGD,1995,8212.065231159999
BGD,1996,8516.383785189999
BGD,1997,8696.44003762
BGD,1998,9206.888915489999
BGD,1999,9413.63043109
BGD,2000,9029.05581557
BGD,2001,9508.94909526
BGD,2002,9957.70972189
BGD,2003,10929.0840637
BGD,2004,12023.5293079
BGD,2005,12421.4922032
BGD,2006,13408.606748
BGD,2007,15412.8842147
BGD,2008,18039.0434078
BGD,2009,19970.7318802
BGD,2010,22564.3098092
BGD,2011,25031.4213117
BGD,2012,25619.7334406
BGD,2013,30310.4500626
BGD,2014,31267.0657247
BGD,2015,31490.8417301
BGR,1990,13272.906810649998
BGR,1991,5177.3362195
BGR,1992,5922.07235967
BGR,1993,7284.5650361
BGR,1994,4224.30700044
BGR,1995,5791.11382949
BGR,1996,4680.08353989
BGR,1997,5156.08746689
BGR,1998,5470.64298304
BGR,1999,5080.54796043
BGR,2000,4764.08944747
BGR,2001,5390.22700102
BGR,2002,5937.17004132
BGR,2003,7622.10428281
BGR,2004,9672.33498847
BGR,2005,10856.88610644
BGR,2006,13093.349839139999
BGR,2007,16137.584399
BGR,2008,19716.3539674
BGR,2009,16738.8785332
BGR,2010,16416.6456942
