country,sect,t,source,outp,outpd,outptt,gvco,gvcobp,gvcofp,gvcomix
ABW,6,1990,eora,15.4198291288756,5.16110846811581,6.788343450350539,3.47037721040928,0.266897670657114,0.0510484371366058,3.15243110261556
ABW,6,1991,eora,19.2444287310607,6.46158181737222,8.25278308062548,4.53006383306298,0.306847742074806,0.103184218635519,4.120031872352654
ABW,6,1992,eora,19.4882845727498,5.71580314400101,8.40122821501033,5.37125321373844,0.299741805695491,0.0915584066877549,4.979953001355194
ABW,6,1993,eora,21.2278290606395,7.07502544568045,8.832768832224,5.32003478273502,0.298535147530454,0.11379037449733,4.907709260707236
ABW,6,1994,eora,25.1390074151603,9.2367044456746,9.9355908224717,5.96671214701403,0.307424051242987,0.183833326046435,5.475454769724608
ABW,6,1995,eora,27.1045020520613,9.63927428740644,10.6542717277767,6.810956036878141,0.359942405488498,0.241626398517063,6.209387232872579
ABW,6,1996,eora,32.0488773924161,12.0381547722398,12.3445801601224,7.666142460053901,0.365502152205297,0.345813985553772,6.954826322294831
ABW,6,1997,eora,36.7827651371842,15.5620331790227,13.4500125469281,7.77071941123342,0.345285341756239,0.422388236122714,7.003045833354467
ABW,6,1998,eora,43.7215870655954,21.6000080125571,14.2650319263949,7.85654712664331,0.284024460298713,0.914738618896077,6.657784047448519
ABW,6,1999,eora,46.636143169803,22.8338894133517,15.3208068349455,8.48144692150578,0.297655652999863,0.943745825450458,7.240045443055459
ABW,6,2000,eora,50.4199586657404,27.6526202377226,15.026512998043,7.74082542997487,0.264105682028525,1.10699505150148,6.369724696444865
ABW,6,2001,eora,54.5973103012414,28.7396903320042,16.757162065853,9.10045790338416,0.300351362136345,1.07982989547324,7.720276645774576
ABW,6,2002,eora,56.013361365618,29.9600520881722,16.9369145781594,9.11639469928644,0.312579131394453,1.11737114580137,7.686444422090618
ABW,6,2003,eora,57.2196879747707,28.40679344541,18.2754817817147,10.537412747646,0.372832397009199,1.00066078808473,9.163919562552072
ABW,6,2004,eora,63.1110184670784,29.1447113220578,21.0069652036952,12.9593419413254,0.436411782480435,1.11824036970931,11.40468978913565
ABW,6,2005,eora,67.57486019788139,29.8928129953501,23.0161039092945,14.6659432932368,0.495732661206447,1.22973893183691,12.94047170019345
ABW,6,2006,eora,70.9181619905217,30.427480292663,24.3125472021686,16.17813449569,0.608547625007149,1.18638745435939,14.38319941632346
ABW,6,2007,eora,76.57945711896309,32.0045106398496,26.9624533769458,17.6124931021676,0.733357353842058,0.999233262299972,15.87990248602557
ABW,6,2008,eora,81.1805941769556,31.6423995840415,29.3737953413237,20.1643992515904,0.856560845673508,1.00410060388299,18.3037378020339
ABW,6,2009,eora,73.4592226853753,30.0452543596275,26.7680950355033,16.6458732902444,0.760838598847664,0.7266513290599981,15.15838336233674
ABW,6,2010,eora,74.3463847106255,27.1657711506212,28.1262500406024,19.0543635194019,0.891967508351833,0.762782963762849,17.39961304728722
ABW,6,2011,eora,85.524292813692,27.2802211294434,32.934796656209,25.3092750280396,1.18337664239252,0.923993072384147,23.20190531326293
ABW,6,2012,eora,86.291868650372,28.2724329536436,33.0826468407043,24.9367888560241,1.17097269056107,0.970551195829372,22.79526496963366
ABW,6,2013,eora,88.3303608844768,28.795878981625,33.7345397882915,25.7999421145603,1.21489907201944,1.04128020367327,23.54376283886759
ABW,6,2014,eora,87.50485910127941,27.9473420794266,33.6836898391093,25.8738271827434,1.26868598962306,0.941103831222186,23.66403736189816
ABW,6,2015,eora,82.70174845646969,28.3591323023322,31.6520022662232,22.6906138879142,1.11628109574148,0.807627492824106,20.76670529934862
AFG,6,1990,eora,143.714424847721,133.237132115427,8.08407515351198,2.39321757878162,0.112479485400314,0.325020198292934,1.955717895088372
AFG,6,1991,eora,131.71943141858,120.163812927166,8.939833395576398,2.61578509583752,0.136016496055704,0.3053503955088659,2.17441820427295
AFG,6,1992,eora,135.807625791739,121.81972709708,10.690158473492,3.29774022116685,0.183818928349496,0.352488916846757,2.761432375970597
AFG,6,1993,eora,104.974310442446,91.7180751091727,10.2068793560635,3.04935597720964,0.176611871321862,0.331931533554542,2.540812572333236
AFG,6,1994,eora,83.6620113030228,70.5640624315217,9.94716773044608,3.15078114105506,0.188584167127769,0.342099647848215,2.620097326079076
AFG,6,1995,eora,126.247947545641,108.562416911501,13.3853088785961,4.300221755543991,0.277213443505561,0.440727883104782,3.582280428933648
AFG,6,1996,eora,122.796950016465,104.583754367294,13.6977566794931,4.51543896967844,0.287499452677761,0.519361215404888,3.708578301595792
AFG,6,1997,eora,118.511870017915,98.8477537084822,14.6643870067528,4.99972930267977,0.308395614395045,0.633655253516344,4.057678434768381
AFG,6,1998,eora,116.266020117994,96.6414418091629,14.727343131061,4.89723517777034,0.285273676993252,0.7198966611499771,3.892064839627111
AFG,6,1999,eora,108.959869555949,88.4718104976024,15.4077360830137,5.08032297533273,0.299939913038622,0.713748696677288,4.06663436561682
AFG,6,2000,eora,139.296266749949,111.707262119716,20.9545279009192,6.63447672931399,0.368737933835312,0.909867258609303,5.355871536869375
AFG,6,2001,eora,145.207121774366,122.643350026172,16.7220283347607,5.841743413433981,0.388637897842454,0.749290218812037,4.70381529677949
AFG,6,2002,eora,169.760754866108,145.615284045942,18.0283308669329,6.11713995323302,0.3762947030035,0.811309576795284,4.929535673434235
AFG,6,2003,eora,203.472229367783,171.568908604113,23.6061455813845,8.29717518228533,0.59494171997174,0.937994155667342,6.764239306646248
AFG,6,2004,eora,231.240612957142,194.642800746056,26.9388716958585,9.6589405152274,0.707925428317087,0.983592065633773,7.967423021276541
