country,t,outp,gross output,trans_outp_p,trans_diff
ETH,2011,160.210980285724,1842.421769467197,0.0869567343052263,-0.0017318535706890015
ETH,2012,168.758190339545,1941.7265302873063,0.0869114098753004,-4.53244299258998e-05
ETH,2013,180.865946705194,2048.067910051086,0.0883105222329676,0.0013991123576672093
ETH,2014,215.010549314354,2528.0483691184822,0.0850500140506912,-0.0032605081822764115
ETH,2015,254.119565383399,2960.9778585359154,0.085822852288754,0.0007728382380628035
FIN,1990,13645.56538835,248788.8214222756,0.0548479843681924,
FIN,1991,12487.41809185,227017.01108470288,0.0550065302691823,0.0001585459009898968
FIN,1992,11338.3937903212,203381.9931349624,0.0557492510302873,0.0007427207611050007
FIN,1993,9261.5722311195,163072.04009822157,0.0567943604896404,0.0010451094593530996
FIN,1994,10632.8529804912,187570.5849747422,0.0566872091480814,-0.00010715134155900308
FIN,1995,13703.8904910815,241987.18958806997,0.0566306444337378,-5.6564714343593225e-05
FIN,1996,13489.6236275733,239477.40006443497,0.0563294224170786,-0.00030122201665920556
FIN,1997,12940.3169785471,231060.0196576364,0.0560041369239078,-0.0003252854931707974
FIN,1998,13647.1129514784,245160.8244500907,0.0556659612402986,-0.0003381756836092001
FIN,1999,13704.1114753613,246411.9514621325,0.0556146379834473,-5.132325685130307e-05
FIN,2000,13059.4545678901,236255.29691945185,0.0552768752200402,-0.0003377627634070998
FIN,2001,13280.5282673783,239111.489524227,0.0555411548554328,0.0002642796353926058
FIN,2002,14363.8142470559,258495.85882728663,0.0555669027435098,2.5747888076993464e-05
FIN,2003,17430.3198747622,312600.35437637806,0.0557591174505697,0.0001922147070598998
FIN,2004,20228.428727341,362364.07490245753,0.055823493906746,6.4376456176303e-05
FIN,2005,21135.2054960091,379978.5935077507,0.0556220951841014,-0.00020139872264460235
FIN,2006,23078.3726540542,414291.7445525793,0.0557056059105837,8.351072648229985e-05
FIN,2007,27505.2223541919,492384.8266705332,0.0558612306154517,0.00015562470486800428
FIN,2008,30943.1172988078,554045.9058999165,0.0558493745180699,-1.18560973818016e-05
FIN,2009,26777.7948715151,480788.6339050249,0.055695565542019,-0.00015380897605089816
FIN,2010,27086.9332005002,487491.0912197316,0.055563955297577,-0.00013161024444199865
FIN,2011,30453.292515053,547659.4243291545,0.0556062603183652,4.230502078819698e-05
FIN,2012,30621.3334464626,552585.8254581908,0.0554146198395011,-0.00019164047886410102
FIN,2013,31913.1667305372,575123.471180742,0.0554892441878936,7.462434839249771e-05
FIN,2014,32087.1527799772,579546.7907539888,0.0553659398893951,-0.00012330429849849445
FIN,2015,31277.9151988039,565382.020070193,0.0553217366107976,-4.420327859749884e-05
FJI,1990,158.719904418079,2851.204815764467,0.0556676614533294,
FJI,1991,160.945997591683,2924.8132084631834,0.0550277867748862,-0.000639874678443203
FJI,1992,176.587340228442,3257.036007709597,0.0542171900496185,-0.0008105967252676968
FJI,1993,187.544450400991,3487.4582616815937,0.0537768300947522,-0.00044035995486630536
FJI,1994,211.685694148554,3901.4446017447526,0.0542582852653826,0.00048145517063040433
FJI,1995,230.388243838976,4276.6071204520495,0.0538717346134482,-0.0003865506519344017
FJI,1996,241.644495875754,4542.7465154720685,0.0531934799911773,-0.0006782546222708977
FJI,1997,233.07771224825,4492.4455580827325,0.0518821450888593,-0.0013113349023180024
FJI,1998,182.197835068422,3580.0698392945824,0.0508922572036534,-0.0009898878852058965
FJI,1999,213.938943691567,4228.632518791119,0.0505929381994933,-0.0002993190041601021
FJI,2000,179.026655775257,3784.003245719058,0.0473114435030663,-0.0032814946964270023
FJI,2001,184.481440114686,3746.466530587237,0.0492414488714969,0.001930005368430604
FJI,2002,201.63240046919,4050.437666972239,0.0497803983291299,0.0005389494576329978
FJI,2003,264.315939437102,5054.274928586692,0.0522955207565275,0.002515122427397598
FJI,2004,325.540272036778,6102.2100166956925,0.0533479298723081,0.0010524091157806045
FJI,2005,352.043115397419,6567.203890457776,0.0536062411445671,0.00025831127225899725
FJI,2006,385.178970269561,7025.89216783388,0.0548227842199169,0.0012165430753497963
FJI,2007,423.892767860843,7628.548515420969,0.0555666345968635,0.0007438503769466032
FJI,2008,455.033381317138,8171.744606406398,0.0556837497051003,0.00011711510823680243
FJI,2009,355.065934840441,6360.914939857275,0.0558199470041031,0.0001361972990027993
FJI,2010,402.492070122657,7067.8919535384575,0.0569465510747025,0.0011266040705993977
FJI,2011,488.803625936531,8520.839923949521,0.0573656623407101,0.0004191112660075977
FJI,2012,508.282690729209,8608.3788903857,0.059045111420094,0.0016794490793839018
FJI,2013,555.2900987573829,9634.790350057225,0.0576338538340987,-0.0014112575859953
FJI,2014,567.738338469386,9832.132197021723,0.0577431555122256,0.000109301678126901
FJI,2015,551.744534064459,9583.088903265709,0.0575748111735075,-0.000168344338718103
FRA,1990,96272.49970838852,2231582.8657352496,0.0431409028930096,
FRA,1991,96598.4373178326,2241540.014153358,0.0430946745130125,-4.622837999709861e-05
FRA,1992,106906.743412009,2487084.934623559,0.0429847577474028,-0.0001099167656097022
FRA,1993,101150.089068725,2354514.6386495703,0.0429600595419273,-2.4698205475501278e-05
FRA,1994,106632.896949403,2481009.5061658416,0.0429796406198353,1.958107790800412e-05
FRA,1995,122247.808613238,2841587.5732732555,0.0430209541184118,4.1313498576500685e-05
FRA,1996,122904.055167264,2826718.528569763,0.0434794104630749,0.0004584563446630996
FRA,1997,111624.6996414,2594128.1316978773,0.0430297556537196,-0.0004496548093552988
FRA,1998,116661.946428931,2648064.678491817,0.0440555502199345,0.001025794566214898
FRA,1999,115845.320858782,2672914.9953102767,0.0433404433220048,-0.0007151068979297029
FRA,2000,105916.092857728,2470844.552520834,0.0428663522153463,-0.0004740911066584974
FRA,2001,107451.929437205,2491084.1963176634,0.0431346036380629,0.0002682514227166019
FRA,2002,116166.448302537,2689383.9523505927,0.0431944454048684,5.984176680549902e-05
FRA,2003,143456.57716318,3320115.629176982,0.0432083075367893,1.3862131920901188e-05
FRA,2004,165465.659326534,3832198.522080365,0.0431777368456132,-3.057069117610306e-05
FRA,2005,172646.599285529,4005168.2360994928,0.0431059543839946,-7.178246161859692e-05
FRA,2006,184301.773443731,4271947.006539979,0.0431423360733597,3.638168936509478e-05
FRA,2007,211887.993234001,4906499.922163831,0.0431851618455861,4.282577222640416e-05
FRA,2008,234018.783042726,5435056.957021651,0.0430572825442781,-0.00012787930130800373
FRA,2009,214480.973865928,4994169.62681956,0.0429462733332339,-0.0001110092110441982
FRA,2010,212580.705981246,4953394.796143053,0.0429161645154493,-3.0108817784597897e-05
FRA,2011,231444.689077376,5387311.504714328,0.0429610741600598,4.490964461049962e-05
FRA,2012,231765.922386297,5404321.231924037,0.0428852972353355,-7.57769247243037e-05
FRA,2013,241897.164622193,5632294.477830244,0.0429482452620943,6.294802675880368e-05
FRA,2014,235984.167896656,5509285.564156404,0.0428338965458564,-0.00011434871623790255
FRA,2015,224600.335173162,5248502.536260204,0.0427932221850844,-4.067436077200004e-05
GAB,1990,597.800805850247,12613.406817697867,0.047394079529051,
GAB,1991,580.477400680238,11748.987414383691,0.0494065897091343,0.0020125101800832976
GAB,1992,618.574347369523,12622.906972153049,0.049004112026979,-0.0004024776821553028
GAB,1993,595.5001002153119,12120.962450498311,0.0491297702346095,0.00012565820763050378
GAB,1994,474.35211629321,9233.961582046346,0.0513703800994251,0.0022406098648155987
GAB,1995,557.234033969357,10875.525460717136,0.0512374354675652,-0.00013294463185990063
GAB,1996,621.273623555164,12268.346135769494,0.050640372930446,-0.0005970625371191987
GAB,1997,587.205641911819,11650.612244666809,0.0504012690131901,-0.00023910391725590063
GAB,1998,513.780532666228,10756.672973688796,0.0477638888830174,-0.0026373801301727007
GAB,1999,531.0338127149449,10775.865305657382,0.0492799230179825,0.001516034134965101
GAB,2000,555.687903078046,11121.398579967889,0.049965649471368,0.0006857264533855004
GAB,2001,525.514077078382,10457.426924407864,0.0502527132990832,0.00028706382771519906
GAB,2002,545.319820140676,10971.171982734031,0.0497047918853954,-0.0005479214136877991
GAB,2003,694.675932246394,13676.181661397084,0.0507945821023431,0.0010897902169476961
GAB,2004,841.658450460801,16296.534299214576,0.0516464688140082,0.0008518867116651049
GAB,2005,1010.85671147553,19222.62103250728,0.0525868303685577,0.0009403615545494973
GAB,2006,1139.79673925982,21463.503310997767,0.0531039468601472,0.0005171164915895032
GAB,2007,1359.44903129663,25771.645085816595,0.0527497964049179,-0.00035415045522930316
GAB,2008,1766.91393181102,33503.54082966441,0.0527381252266499,-1.1671178268002347e-05
GAB,2009,1587.53018972482,30714.086836655715,0.0516873641130096,-0.0010507611136402958
GAB,2010,1915.85785036302,36063.08560972296,0.0531251782250847,0.0014378141120751017
GAB,2011,2341.86147208881,47487.59158727127,0.0493152293854491,-0.0038099488396356046
GAB,2012,2381.63250817939,46815.69156571728,0.0508725264655374,0.0015572970800883032
GAB,2013,2531.02751536934,49883.64440000073,0.0507386247699517,-0.00013390169558569892
GAB,2014,2556.45662087549,50509.04062236398,0.0506138423809927,-0.0001247823889590008
GAB,2015,2472.52559914751,48762.47507725339,0.0507054983413031,9.165596031039669e-05
GBR,1990,94574.18743940708,1707151.4209558363,0.055398827707067,
GBR,1991,97350.2128590344,1758288.4365708518,0.0553664636781063,-3.2364028960701896e-05
GBR,1992,102288.634492232,1850291.4994242035,0.0552824430767062,-8.402060140010048e-05
GBR,1993,96784.0441499064,1742139.1339621614,0.0555547156155029,0.00027227253879670565
GBR,1994,105950.207962009,1903316.0208573043,0.0556661147181886,0.00011139910268569836
GBR,1995,118491.65522934,2122822.525530862,0.0558179752684263,0.00015186055023769934
GBR,1996,126389.64334668,2265677.733234369,0.0557844752114204,-3.350005700589881e-05
GBR,1997,139933.136007798,2494529.360253798,0.0560960068209263,0.0003115316095059009
GBR,1998,146736.779461307,2640547.197039248,0.0555705952258068,-0.0005254115951195057
GBR,1999,151633.479743359,2732364.6422121087,0.0554953308210712,-7.52644047355977e-05
GBR,2000,155233.385434391,2824681.4390063942,0.0549560680686865,-0.0005392627523847018
GBR,2001,153468.521098548,2767804.1986148297,0.055447752111711,0.0004916840430244998
GBR,2002,161369.487757167,2902678.654237209,0.0555933008711131,0.00014554875940209905
GBR,2003,181120.270694989,3263849.5064746407,0.055492837624925,-0.00010046324618809971
GBR,2004,213585.172321715,3849215.851909064,0.0554879696382277,-4.867986697298932e-06
GBR,2005,230282.771216267,4139005.856467084,0.0556372180185385,0.00014924838031080134
GBR,2006,254782.797488401,4568177.709054215,0.0557733988726876,0.0001361808541490983
GBR,2007,287909.389461433,5153043.807855744,0.0558717139222684,9.83150495807994e-05
GBR,2008,290555.205835578,5193395.00823458,0.0559470645646782,7.535064240980077e-05
GBR,2009,238353.092189755,4280379.199370265,0.0556850412283149,-0.00026202333636329844
GBR,2010,260738.510607092,4655198.013911545,0.0560101868551893,0.0003251456268743985
GBR,2011,287781.336609609,5100975.7611556025,0.056416919053231,0.000406732198041701
GBR,2012,289912.896821506,5160203.692723616,0.0561824521055847,-0.00023446694764629739
GBR,2013,296375.229305574,5258933.279052848,0.0563565296570851,0.0001740775515003956
GBR,2014,295470.047473347,5322195.162223746,0.0555165751099387,-0.0008399545471463946
GBR,2015,286249.800114002,5189698.798254615,0.055157305123425,-0.00035926998651369946
GEO,1990,1876.72509594449,29769.51052441782,0.0630418526500509,
GEO,1991,1492.63709228134,23483.82716562558,0.0635602145150423,0.0005183618649914068
GEO,1992,1016.47721612422,16175.20084788202,0.0628417059969501,-0.0007185085180922007
GEO,1993,716.884486009395,12011.389603406746,0.0596837260033649,-0.0031579799935852054
GEO,1994,753.7052325369609,14183.18652299975,0.0531407544640787,-0.006542971539286201
GEO,1995,422.435285988232,5999.973512442892,0.0704061918127097,0.017265437348631
GEO,1996,500.985618126346,7293.598093413039,0.0686884047777178,-0.0017177870349918967
GEO,1997,570.7824100147429,8337.420514003568,0.0684603120420823,-0.00022809273563549615
GEO,1998,570.484887787039,8298.319707784685,0.0687470364936488,0.0002867244515664946
GEO,1999,444.555823631889,6421.348343920315,0.069230915350168,0.00048387885651919593
GEO,2000,473.120423973345,7261.225668360842,0.0651571023380888,-0.004073813012079194
GEO,2001,511.257297221478,7359.547194032617,0.0694685805719166,0.004311478233827798
GEO,2002,541.3574458183131,7722.572870298018,0.0701006587973344,0.0006320782254178037
GEO,2003,633.3858079745719,8937.287869626633,0.0708700242415971,0.0007693654442626902
GEO,2004,818.863272735229,11668.96365110462,0.0701744642642462,-0.000695559977350893
GEO,2005,1018.32418002161,14399.98642361861,0.0707170236182564,0.0005425593540101942
GEO,2006,1250.32465863746,15376.711912776876,0.0813128753227493,0.010595851704492912
GEO,2007,1581.04191971321,18747.31053813252,0.0843343324631727,0.0030214571404234003
GEO,2008,1883.71383553066,23145.74771674826,0.0813848771957194,-0.002949455267453313
GEO,2009,1567.94090231609,19423.85261081144,0.0807224464544878,-0.0006624307412315955
GEO,2010,1701.27640828853,20605.956082910776,0.0825623621366182,0.0018399156821304052
GEO,2011,2092.8629731984,25165.995480623224,0.0831623360502396,0.0005999739136213905
GEO,2012,2106.38496982365,25688.197306185422,0.0819981622188979,-0.0011641738313416944
GEO,2013,2173.90705173141,26208.222399802147,0.0829475200022654,0.0009493577833675076
GEO,2014,2178.00457409072,26638.312390014977,0.0817621079820025,-0.0011854120202629131
GEO,2015,2141.55180744657,26006.004279501874,0.0823483601875185,0.0005862522055160024
GHA,1990,639.493060297051,15215.599448711617,0.0420287785869126,
