Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,3.543289171298966,8.285602736732661,0.6689102496419244
s1,World GVC,-0.40256183622113895,0.8334979799509881,0.6291108043992222
s2,transport,0.8875425339983849,1.3216964800761308,0.5018908099446571
s2,World GVC,-0.7789704902295398,0.6530231528549001,0.2329210326662421
s6,transport,1.5073078015993815,2.053914256162822,0.4630274543868742
s6,World GVC,-0.9745247067403398,1.129311560584348,0.3881721175513362
s10,transport,3.7383573536062613,6.159896687022597,0.5439263226533817
s10,World GVC,-1.7288551799720153,3.349788965040495,0.6057785019514736
