Variable,Instrument,Coefficient,Std Error,P-value
s1,transport,-71.59717604517937,107.36343794838008,0.5048568399629427
s1,World GVC,-4.8444212063914165,8.6111520447863,0.5737241341075756
s2,transport,-15.768947507385747,17.5822405510225,0.36978940013735917
s2,World GVC,-4.9985934477563205,4.178955272391773,0.23164399486581733
s6,transport,33.22898014076054,34.87487866050193,0.34068856983451257
s6,World GVC,-0.5938566401600838,32.4723411004981,0.985409039894658
s10,transport,10.243960032938048,10.57323467166483,0.33261618327514353
s10,World GVC,-1.3331691843486624,2.354924487623011,0.5713124007327564
s1,transport,-26.444071217315184,29.414631674197988,0.3686469141484352
s1,World GVC,-2.657749940739663,9.250886919139553,0.7738850948653171
s2,transport,-10.97226481839698,12.869668707764713,0.39389903920943103
s2,World GVC,-2.859435413586114,3.65754037247926,0.4343368858982912
s6,transport,47.1530467907894,59.44558549182343,0.42765338595653235
s6,World GVC,-5.364336108481368,34.40039534042133,0.8760817256595728
s10,transport,29.80927838476805,59.180764360069475,0.6144730708397612
s10,World GVC,-0.2609519612939941,2.2182634384996756,0.9063545347287543
s1,transport,-71.3726153475045,106.86958570141373,0.5042307649573341
s1,World GVC,-6.165540473618421,8.876770017649415,0.48732465435526606
s2,transport,-15.720029714233874,17.503417310024197,0.36912582422829354
s2,World GVC,-4.6196727422630595,4.107977855838444,0.26077499884860034
s6,transport,33.127630118301866,34.77374579660089,0.34076129581586034
s6,World GVC,-1.7053726095433,32.31062130115705,0.9579067526711469
s10,transport,10.221345561050043,10.555459345682774,0.3328711858398554
s10,World GVC,-1.5209170494508442,2.4002171604652434,0.5263039739625754
