,Variable,Instrument,Coefficient,Std Error,P-value
0,s6,transport,33.22898014076054,34.87487866050193,0.3406885698345125
1,s6,World GVC,-0.5938566401600838,32.4723411004981,0.985409039894658
2,s6,transport,47.1530467907894,59.44558549182343,0.4276533859565323
3,s6,World GVC,-5.364336108481368,34.40039534042133,0.8760817256595728
4,s6,transport,33.127630118301866,34.77374579660089,0.3407612958158603
5,s6,World GVC,-1.7053726095433,32.31062130115705,0.9579067526711468
6,s6,transport,33.127630118301866,34.77374579660089,0.3407612958158603
7,s6,World GVC,-1.7053726095433,32.31062130115705,0.9579067526711468
8,s6,transport,15.091875080484895,15.424130516634278,0.3278474957850221
9,s6,World GVC,1.6121842915163145,1.683419778250432,0.3382220958891171
10,s6,transport,82.09395177007355,214.16309027255676,0.7014792024415366
11,s6,World GVC,3.204925893865866,2.351772116405408,0.1729548201179511
12,s6,transport,15.082769803816008,15.433839458904211,0.3284437903216595
13,s6,World GVC,2.0483674214222667,1.6986983211914346,0.2278771371786603
14,s6,transport,15.082769803816008,15.433839458904211,0.3284437903216595
15,s6,World GVC,2.0483674214222667,1.6986983211914346,0.2278771371786603
16,s6,transport,6.299242590786889,6.622987500827262,0.3415444809392296
17,s6,World GVC,-0.9745247067403398,1.129311560584348,0.3881721175513362
18,s6,transport,-128.80790847085882,1847.96905026427,0.9444305183516928
19,s6,World GVC,-1.3701527261387063,1.3375043243600466,0.3056416884495752
20,s6,transport,6.261440176965522,6.555230633138399,0.3394855225769579
21,s6,World GVC,-1.1823508990189389,1.1107893588749165,0.2871366473472365
22,s6,transport,6.261440176965522,6.555230633138399,0.3394855225769579
23,s6,World GVC,-1.1823508990189389,1.1107893588749165,0.2871366473472365
